obs_ID,study_ID,year_pub,T_mean,C_mean,T_n,C_n,T_sd,C_sd
obs041,Guevara Escobar et al (2007),2007,17.1,58.5,2,2,6.4,6.4
obs042,Guevara Escobar et al (2007),2007,31.5,60.5,4,4,10.6,10.6
obs043,Guevara Escobar et al (2007),2007,35,104.1,2,2,22.1,22.1
obs044,Guevara Escobar et al (2007),2007,48.1,52.6,2,2,8.6,8.6
obs045,Harmand et al (2004),2004,1970,7890,3,3,445.1,1836
obs046,Hussain et al (2009),2009,15.6,29.2,4,4,3.5,3.8
obs047,Hussain et al (2009),2009,29.1,37.2,3,3,5.1,5.4
obs048,Jackson & Ash (1998),1998,794.3,985.9,2,2,64.4,61.8
obs049,Jackson & Ash (1998),1998,1118.9,1101.5,2,2,72.6,91.4
obs050,Jackson et al (1990),1990,670.6,525.6,5,5,155.8,162.6
obs051,Jeddi & Chaieb (2009),2009,2240,148,6,6,3791.8,399.3
obs052,Jeddi & Chaieb (2009),2009,2032,93,6,6,3044.7,338
obs053,Jeddi & Chaieb (2009),2009,2811,1888,6,6,90.6,661.4
obs054,Kallenbach et al (2010),2010,2812,3510,3,3,240.8,284.1
obs055,Kumar et al (2001),2001,2.1,3.6,3,3,1,0.7
obs056,Ludwig et al (2001),2001,557,573.8,5,5,185.6,100.8
obs057,Ludwig et al (2004),2004,563.8,545.2,5,5,118.9,107
obs058,Mordelet & Menaut (1995),1995,187.3,332.8,18,18,107,130.4
obs059,Moreno (2008),2008,76.4,67,6,6,78.8,50.9
obs060,Moreno (2008),2008,120.6,91.2,6,6,124.8,44.3
obs061,Moreno (2008),2008,138.1,101.9,6,6,110,57.5
obs062,Mosquera Losada et al (2010),2010,6.2,8.3,3,3,2.9,2.8
obs063,Moustakas et al (2013),2013,397.2,269.9,4,4,342.3,216.7
obs064,Moustakas et al (2013),2013,646,393.4,4,4,591.1,329.9
obs065,Moustakas et al (2013),2013,508.7,426,4,4,452.1,359.1
obs066,Moustakas et al (2013),2013,488.2,534.1,4,4,445.3,460.3
obs067,Nordestahl et al (2011),2011,428.5,738,4,4,145,344.7
obs068,Pandey et al (2011),2011,7,8.9,4,4,0.5,0.5
obs069,Peri et al (2007),2007,25,28.8,3,3,10.9,10.9
obs070,Ratlif (1991),1991,4214,4295,1597,1499,4555.7,4607.3
obs071,Ratlif (1991),1991,2061,2070,4533,3600,2693.1,2700
obs072,Ratlif (1991),1991,3144,3118,1221,1130,3773.8,3731.3
obs073,Silva Pando et al (2002),2002,5,9.4,3,3,0.5,0.8
obs074,Simmons (2008),2008,421.3,400.3,8,8,131.1,127.1
obs075,Simmons et al (2008),2008,341,336.7,8,8,145.8,158.4
obs076,Singh et al (2008),2008,227,181.5,10,10,90.1,47.8
obs077,Singh et al (2008),2008,284.2,181.5,10,10,121.4,47.8
obs078,Singh et al (2008),2008,259.4,181.5,10,10,85.1,47.8
obs079,Singh et al (2008),2008,521.2,181.5,10,10,311.2,47.8
obs080,Stalheber & D'Antonio (2014),2014,3.7,12.3,5,5,1.5,2.7
obs081,Stalheber & D'Antonio (2014),2014,3.7,5.7,5,5,1.8,2.3
obs082,Stalheber & D'Antonio (2014),2014,2.1,0.9,5,5,0.4,0.3
obs083,Stalheber & D'Antonio (2014),2014,1.5,0.2,5,5,1.5,0.3
obs084,Treydte (2007),2007,89.6,89.4,23,23,285.6,214.4
obs085,Treydte (2007),2007,93.5,85.5,23,23,356.9,214.4
obs086,Treydte (2007),2007,267.9,249.1,15,15,419.1,325.5
obs087,Treydte (2007),2007,324.5,232.8,15,15,1512.3,535.2
obs088,Treydte (2007),2007,118.3,99.5,18,18,223,279.1
obs089,Treydte (2007),2007,114.5,97.2,18,18,279.3,139.3
obs090,Treydte (2009),2009,45,59.8,8,8,41.8,43.5
obs091,Treydte (2009),2009,74,74,4,4,32,7.1
obs092,Villanueva-Lopez et al (2015),2015,30.1,29.5,9,9,1.9,1.9
obs093,Weltzin (1990),1990,236,223,23,17,460,663
