study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Dijkstra et al. 2010 (FE),37,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,High water,Fig. 3; sum of species,Mixtures,No,Grassland,average of five species,0.1923,0.1838,0.0318,0.0216,10,10,-0.0452,0.0041,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (NP),38,*,600,*,3.0,41°11' N,104°54' W,USA,FACE,g m-2,No,Fig. 3,*,No,Grassland,northern mixed-grass prairie,1.5171,1.3863,0.0758,0.1270,5,5,-0.0902,0.0022,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (NP),39,*,600,*,3.0,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Fig. 3,*,No,Grassland,northern mixed-grass prairie,1.4953,1.4065,0.2246,0.1720,5,5,-0.0612,0.0075,,,,,,,,,,,,,,,,,,
Franzaring et al. 2012,40,380,550,170,0.4,*,*,Germany,GC,g plant-1,No,Fig. 3 (a+b+c),0 g N,No,*,*,0.2053,0.2083,0.0205,0.0208,6,6,0.0145,0.0033,,,,,,,,,,,,,,,,,,
Franzaring et al. 2012,41,380,550,170,0.4,*,*,Germany,GC,g plant-1,Nitrogen,Fig. 3 (a+b+c),75 kg N ha-1 yr-1,Yes,*,*,0.3183,0.3124,0.0318,0.0312,6,6,-0.0187,0.0033,,,,,,,,,,,,,,,,,,
Gill et al. 2006,42,275,455,180,4.0,31°05' N,97°20' W,USA,GC,g N m-2 land,No,Fig. 1a,*,No,Grassland,Grass,6.2897,11.5079,1.3878,2.1347,10,10,0.6041,0.0083,,,,,,,,,,,,,,,,,,
Gutierrez et al. 2013,43,370,700,330,0.4,40°95' N,5°5' W,Spain,OTC,mg plant-1,Nitrogen,Table 4,77.5 kg N ha-1 yr-1,Yes,Cropland,Wheat,37.9000,39.9000,3.7900,3.9900,3,3,0.0514,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,44,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 1 * Table 2; yield + stubble,DM*N concentration,Yes,Grassland,Lolium perenne,9.4954,8.5706,0.9495,0.8571,3,3,-0.1025,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,45,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 1 * Table 2; yield + stubble,DM*N concentration,Yes,Grassland,Trifolium repens ,26.2824,37.3974,2.6282,3.7397,3,3,0.3527,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,46,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 1 * Table 2; yield + stubble,DM*N concentration,Yes,Grassland,Lolium perenne,29.8533,23.1876,2.9853,2.3188,3,3,-0.2527,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,47,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 1 * Table 2; yield + stubble,DM*N concentration,Yes,Grassland,Trifolium repens ,23.3204,37.4191,2.3320,3.7419,3,3,0.4729,0.0067,,,,,,,,,,,,,,,,,,
Hibbs et al. 1995,48,350,700,350,0.4,*,*,USA,GC,mg,No,Table 2,*,No,Forest,Deciduous,1.0800,1.7200,0.1080,0.1720,16,16,0.4654,0.0012,,,,,,,,,,,,,,,,,,
Hibbs et al. 1995,49,350,700,350,0.4,*,*,USA,GC,mg,Drought,Table 2,*,No,Forest,Deciduous,1.5100,1.7800,0.1510,0.1780,16,16,0.1645,0.0012,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,50,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Avena fatua,0.5574,0.8033,0.1833,0.3666,5,5,0.3654,0.0633,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,51,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Bromus hordeaceus,0.2951,0.3197,0.0733,0.0733,5,5,0.0801,0.0229,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,52,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Lolium multiflorum,0.3525,0.3361,0.1100,0.1283,5,5,-0.0476,0.0486,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,53,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Vulpia michrostachys,0.5000,0.2459,0.2383,0.1283,5,5,-0.7097,0.0999,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,54,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Lasthenia californica,0.3197,0.3443,0.1100,0.1283,5,5,0.0741,0.0514,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,55,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Plantago erecta,0.7377,0.5738,0.2016,0.1283,5,5,-0.2513,0.0249,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,56,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Avena fatua,6.0656,7.0492,2.0161,1.6496,5,5,0.1503,0.033,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,57,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Bromus hordeaceus,1.7213,3.6066,0.7331,1.6496,5,5,0.7397,0.0781,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,58,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Lolium multiflorum,3.0328,3.1967,0.5499,1.2830,5,5,0.0526,0.0388,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,59,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Vulpia michrostachys,2.8689,2.6230,0.7331,1.6496,5,5,-0.0896,0.0922,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,60,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Lasthenia californica,5.0000,4.5082,1.4663,1.8328,5,5,-0.1035,0.0503,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,61,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Plantago erecta,6.1475,4.5082,1.8328,1.4663,5,5,-0.3101,0.0389,,,,,,,,,,,,,,,,,,
Hungate et al. 1997 (Oecologia),62,360,710,350,1.0,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Table 2,Serpentine ecosystem,No,Grassland,*,1.8500,2.7300,0.5376,1.3282,10,10,0.3891,0.0321,,,,,,,,,,,,,,,,,,
Hungate et al. 1997 (Oecologia),63,360,710,350,1.0,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Table 2,Sandstone ecosystem,No,Grassland,*,2.1000,3.1800,0.5692,1.0752,10,10,0.4149,0.0188,,,,,,,,,,,,,,,,,,
Hungate et al. 2006,64,350,686,336,7.0,28°38' N,80°42' W,USA,OTC,g N m-2 land,No,Table 3,*,No,Forest,*,4.1782,5.4483,0.6238,0.6825,8,8,0.2654,0.0047,,,,,,,,,,,,,,,,,,
Jin et al. 2012,65,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,No,Fig. 1a * Table 2,0 mg P kg-1 soil,No,Cropland,Chickpea,7.4351,7.9176,0.7435,0.7918,4,4,0.0629,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,66,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,2 mg P kg-1 soil,No,Cropland,Chickpea,12.0324,15.9061,1.2032,1.5906,4,4,0.2791,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,67,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,4 mg P kg-1 soil,No,Cropland,Chickpea,15.3243,20.2500,1.5324,2.0250,4,4,0.2787,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,68,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,8 mg P kg-1 soil,No,Cropland,Chickpea,21.9122,34.7351,2.1912,3.4735,4,4,0.4607,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,69,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,16 mg P kg-1 soil,No,Cropland,Chickpea,34.1514,44.7507,3.4151,4.4751,4,4,0.2703,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,70,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,No,Fig. 1a * Table 2,0 mg P kg-1 soil,No,Cropland,Field pea,12.5878,15.2514,1.2588,1.5251,4,4,0.1919,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,71,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,2 mg P kg-1 soil,No,Cropland,Field pea,28.3135,30.1155,2.8314,3.0116,4,4,0.0617,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,72,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,4 mg P kg-1 soil,No,Cropland,Field pea,30.1014,34.2811,3.0101,3.4281,4,4,0.13,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,73,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,8 mg P kg-1 soil,No,Cropland,Field pea,46.1453,50.5419,4.6145,5.0542,4,4,0.091,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,74,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1a * Table 2,16 mg P kg-1 soil,No,Cropland,Field pea,59.3027,64.4047,5.9303,6.4405,4,4,0.0825,0.005,,,,,,,,,,,,,,,,,,
Johnson et al. 2004,75,*,542,*,2.0,35°54' N,84°20' W,USA,FACE,kg N ha-1 land,No,Table 2; sum of leaf and woody,*,No,Forest,*,240.0000,232.0000,24.0000,23.2000,3,2,-0.0339,0.0083,,,,,,,,,,,,,,,,,,
Kettunen et al. 2005,76,360,720,360,0.3,*,*,*,GC,g N m-2 land,Fertilizer,Fig. 4; average across harvests,2g N m-2,Yes,Grassland,Phleum pratense,4.6662,3.7534,0.5580,0.4086,6,6,-0.2177,0.0044,,,,,,,,,,,,,,,,,,
Kettunen et al. 2005,77,360,720,360,0.3,*,*,*,GC,g N m-2 land,Fertilizer,Fig. 4; average across harvests,6g N m-2,Yes,Grassland,Phleum pratense,6.4062,5.8087,0.9398,0.6719,6,6,-0.0979,0.0058,,,,,,,,,,,,,,,,,,
Kettunen et al. 2005,78,360,720,360,0.3,*,*,*,GC,g N m-2 land,Fertilizer,Fig. 4; average across harvests,10g N m-2,Yes,Grassland,Phleum pratense,9.2172,8.0012,0.9502,0.4262,6,6,-0.1415,0.0022,,,,,,,,,,,,,,,,,,
Kettunen et al. 2007,79,360,720,360,0.4,*,*,*,GC,g N m-2 land,Fertilizer,Fig. 1; Average across harvests and species,5g N m-2,Yes,Grassland,P. pratense + T. pratense,6.7342,7.8481,0.9538,1.0154,9,9,0.1531,0.0041,,,,,,,,,,,,,,,,,,
Kettunen et al. 2007,80,360,720,360,0.4,*,*,*,GC,g N m-2 land,Fertilizer,Fig. 1; Average across harvests and species,10g N m-2,Yes,Grassland,P. pratense + T. pratense,8.2658,9.4304,0.7060,0.8554,9,9,0.1318,0.0017,,,,,,,,,,,,,,,,,,
Kim et al. 2011,81,380,622,242,0.3,35°10' N,126°53' E,South_Korea,GC,mg N pot-2,Fertilizer,Table 4,*,Yes,Cropland,Rice,508.0000,523.5000,50.8000,52.3500,6,6,0.0301,0.0033,,,,,,,,,,,,,,,,,,
Kim et al. 2011,82,380,622,242,0.3,35°10' N,126°53' E,South_Korea,GC,mg N pot-2,Fertilizer + Temperature,Table 4,*,Yes,Cropland,Rice,525.3000,540.6000,52.5300,54.0600,6,6,0.0287,0.0033,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (NCA),83,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,kg ha-1,Nitrogen,Fig. 3,*,Yes,Cropland,Wheat,116.2658,146.3345,11.6266,14.6334,4,4,0.23,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (NCA),84,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,kg ha-1,Nitrogen + Irrigation,Fig. 3,*,Yes,Cropland,Wheat,165.3780,173.9691,16.5378,17.3969,4,4,0.0506,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),85,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 1,Experiment 1,No,Cropland,Chickpea,95.7529,95.7529,9.5753,9.5753,4,4,0,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),86,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 1,Experiment 1,No,Cropland,Chickpea,228.5714,270.2703,22.8571,27.0270,4,4,0.1676,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),87,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Fig. 1,Experiment 1,No,Cropland,Field pea,98.8417,114.2857,9.8842,11.4286,4,4,0.1452,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),88,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Fig. 1,Experiment 1,No,Cropland,Field pea,301.1583,373.7452,30.1158,37.3745,4,4,0.2159,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),89,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,Experiment 2; Vertosol,No,Cropland,Chickpea,23.1000,34.0000,2.3100,3.4000,4,4,0.3865,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),90,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Table 4,Experiment 2; Vertosol,No,Cropland,Chickpea,33.5000,53.6000,3.3500,5.3600,4,4,0.47,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),91,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,No,Table 4,Experiment 2; Calcarosol,No,Cropland,Chickpea,61.0000,83.6000,6.1000,8.3600,4,4,0.3152,0.005,,,,,,,,,,,,,,,,,,
Lam et al. 2012 (CPS),92,390,700,310,0.3,36°43' S,142°10' E,Australia,GC,mg pot-1,Phosphorus,Table 4,Experiment 2; Calcarosol,No,Cropland,Chickpea,74.5000,86.9000,7.4500,8.6900,4,4,0.154,0.005,,,,,,,,,,,,,,,,,,
