Interaction,mean_trt,N_trt,SD_trt,expse,mean_ctrl,N_ctrl,SD_ctrl,cose,logdif,loc,lat,long,elev,alt,study_id
2,0.75,22,0.2,0.04,0.44,38,0.26,0.04,0.54,temp,35,136,139,low,(92)Nakamura and Ohgushi 2007
2,0.03,4,0.02,0.01,0.06,4,0.02,0.01,-0.79,trop,-21.94,16.95,1438,montane,(40)Katjiua and Ward 2006
2,790.91,14,510.23,136.36,1227.27,15,422.51,109.09,-0.44,trop,10.42,-84.02,96,low,(93)Marquis 1992
2,1.2,13,0.58,0.16,2.32,13,0.72,0.2,-0.66,temp,47,19,545,low,(94)Lewis et al. 2006
2,5.07,20,7.09,1.58,11.83,20,7.09,1.58,-0.85,temp,47.44,9.34,690,low,(95)Leimu et al. 2008
2,17.34,5,6.29,2.81,28.13,4,0.94,0.47,-0.48,temp,38.56,-92.22,316,low,(96)Tooker and Hanks 2006
2,3.29,16,1.35,0.34,8.52,15,3.75,0.97,-0.95,trop,-32.97,-71.01,1677,montane,(97)Gonzales et al. 2005
2,0.3,7,0.53,0.2,10.7,19,17,3.9,-3.57,trop,-3.62,-72.25,94,low,(98)Frederickson and Gordon 2007
2,0.79,20,0.45,0.1,2.83,20,2.01,0.45,-1.28,temp,36.33,104.42,2034,montane,(99)Fang et al. 2006
2,16.51,30,10.33,1.89,20.75,30,15.5,2.83,-0.23,temp,46.21,-114.14,1100,montane,(100)Amsberry and Maron 2006
2,0.47,30,0.26,0.05,3.3,30,2.58,0.47,-1.95,temp,46.21,-114.14,1385,montane,(100)Amsberry and Maron 2006
2,5.66,30,4.91,0.9,12.26,30,6.98,1.27,-0.77,temp,46.21,-114.14,1525,montane,(100)Amsberry and Maron 2006
2,3.3,30,2.58,0.47,3.4,30,2.58,0.47,-0.03,temp,46.21,-114.14,1825,montane,(100)Amsberry and Maron 2006
2,8.24,10,8.69,2.75,3.8,10,3.34,1.06,-0.77,trop,9.15,-79.85,137,low,(101)Barone 2000
2,0.59,10,0.08,0.03,0.51,10,0.4,0.13,-0.15,temp,46.58,8.38,2470,montane,(102)Blumer and Diemer 1996
2,6.55,20,7.32,1.27,15.64,20,5.69,1.64,-0.87,trop,19.5,-105.04,55,low,(103)Boege 2004
2,3.64,20,16.26,1.09,12.36,20,4.88,3.64,-1.22,trop,19.5,-105.04,55,low,(103)Boege 2004
2,35.32,3,28.63,16.53,50.5,3,23.02,13.29,-0.36,temp,38.86,-106.99,3000,montane,(104)Brody et al. 2007
2,0.59,10,1.48,0.47,10.67,10,5.04,1.59,-2.89,temp,51.73,10.63,392,low,(105)Bruelheide and Sheidel 1999
2,35.67,3,0.58,0.33,69.67,3,0.58,0.33,-0.67,temp,51.57,9.93,180,low,(105)Bruelheide and Sheidel 1999
2,3.67,3,0.58,0.33,9,3,0,0,-0.9,temp,51.63,10.42,385,low,(105)Bruelheide and Sheidel 1999
2,31.93,117,38.72,3.58,64.3,117,44.67,4.13,-0.7,temp,41.72,2.33,807,low,(106)Cano et al. 2009
2,17.72,98,33.66,3.4,55.82,98,53.46,5.4,-1.15,temp,41.6,2.02,444,low,(106)Cano et al. 2009
2,0.59,36,0.54,0.09,0.86,48,2.08,0.3,-0.38,trop,19.32,-99.18,2305,montane,(107)Cano-Santana and Oyama 1992
2,0.86,102,0.5,0.05,0.96,101,0.1,0.01,-0.11,trop,19.32,-99.18,2305,montane,(107)Cano-Santana and Oyama 1992
2,9.5,2,0.71,0.5,17.5,2,6.36,4.5,-0.61,trop,9.15,-79.85,144,low,(108)Carvajal and Adler 2008
2,8,2,5.66,4,19.5,2,3.54,2.5,-0.89,trop,9.15,-79.85,144,low,(108)Carvajal and Adler 2008
2,1.8,5,0.45,0.2,5,5,0.89,0.4,-1.02,temp,47.33,-114.22,1265,montane,(109)Chase 1996
2,6.82,2,0.17,0.12,8.25,2,0.17,0.12,-0.19,temp,-35.22,149.18,644,low,(110)Cunningham et al. 2009
2,4.42,2,0.68,0.48,9.21,2,1.52,1.08,-0.73,temp,-35.22,149.18,644,low,(110)Cunningham et al. 2009
2,136.67,50,94.28,13.33,76.67,100,166.67,16.67,0.58,trop,-23.26,-51.01,396,low,(111)Dos Santos et al. 2005
2,9.8,8,7.92,2.8,60.2,8,19.8,7,-1.82,temp,-37.68,-57.39,0,low,(46)Alberti et al. 2010
2,15.3,195,22,1.58,2,78,3.98,0.45,2.03,trop,18.45,-95.2,164,low,(112)Horvitz and Schemske 2002
2,23.45,3,2.55,1.47,3.21,9,7.42,2.47,1.99,trop,-7.77,-51.96,254,low,(113)Norghauer et al. 2006
2,60.49,10,11.71,3.7,41.98,10,19.52,6.17,0.37,trop,16.67,-88.19,1,low,(114)Feller 2002
2,25.5,10,2.37,0.75,52.5,10,2.37,0.75,-0.72,temp,40.64,23.01,414,low,(115)Papatheodoru et al. 1998
2,19.76,18,1.43,0.34,17.14,18,6.06,1.43,0.14,temp,63.81,19.38,187,low,(116)Hjalten et al. 2007
2,0.12,18,0.09,0.02,0.01,18,0.01,0,-2.97,temp,63.81,19.38,187,low,(116)Hjalten et al. 2007
2,28030,10,3269.8,1034,28444,10,3592.35,1136,-0.01,temp,39.72,-76.16,136,low,(117)Quesada et al. 1995
2,19,10,5.06,1.6,25,10,5.06,1.6,-0.27,temp,39.72,-76.16,136,low,(117)Quesada et al. 1995
2,0.58,6,0.35,0.14,1.3,6,0.88,0.36,-0.81,temp,45.78,2.97,590,low,(118)Jongejans et al. 2006
3,59.06,6,899.58,4.62,86.96,6,39.05,15.94,-0.39,trop,18.32,-65.75,300,low,(119)Dial and Roughgarden 1995
3,22.28,6,6.66,2.72,7.61,6,2.66,1.09,1.07,temp,32.43,-106.73,1300,montane,(120)Floyd 1996
3,19.02,6,4.66,1.9,13.59,6,6.66,2.72,0.34,temp,32.43,-106.73,1300,montane,(120)Floyd 1996
3,148.35,6,24.23,9.89,263.74,6,2.94,1.2,-0.58,temp,39.6,-75.66,10,low,(121)Moran et al. 1996
3,1.27,5,0.67,0.3,3.56,5,1.23,0.55,-1.03,temp,63.92,20.37,65,low,(122)Atlegrim 1989
3,56,6,137.17,56,120,6,39.19,16,-0.76,trop,21.43,-157.79,0,low,(123)Bach 1991
3,0.56,9,0.2,0.07,1.41,9,0.41,0.14,-0.92,trop,-17.38,124.75,75,low,(124)Buckley 1990
3,0.67,4,0.33,0.16,1.77,4,0.58,0.29,-0.98,trop,-17.38,124.75,75,low,(124)Buckley 1990
3,0.31,8,0.22,0.08,0.69,8,0.22,0.08,-0.81,trop,-5.03,145.77,39,low,(125)Buckley and Gullan 1991
3,0.01,8,0.22,0.08,0.28,8,0.22,0.08,-3.5,trop,-5.03,145.77,39,low,(125)Buckley and Gullan 1991
3,0.3,3,1.04,0.6,202.8,12,219.97,63.5,-6.52,trop,10.62,-67.72,30,low,(126)Escalante and  Benado 1990
3,2.8,6,6.8,2.78,58.3,14,7,1.87,-3.04,temp,57.63,12.04,102,low,(127)Gunnarsson 1985
3,375.5,2,52.33,37,862.5,2,335.88,237.5,-0.83,temp,69.75,27,178,low,(19)Haukioja et al. 1985
3,415,10,90,28.46,1025,10,155,49.02,-0.9,trop,9.15,-79.84,103,low,(128)Houston 1987
3,5,5,0.82,0.37,35,5,0.82,0.37,-1.95,temp,36.04,140.07,20,low,(129)Akino et al. 2004
3,6.71,7,0.49,0.18,10.14,7,3.39,1.28,-0.41,temp,63.92,20.37,64,low,(130)Atlegrim 1992
3,0.02,45,0.13,0.02,0.24,25,0.7,0.14,-2.48,trop,-5.29,145.69,134,low,(131)Letourneau et al. 1993
3,3.9,12,1.1,0.32,5.8,12,1.7,0.49,-0.4,trop,10.22,-66.23,50,low,(132)Lounibos et al. 1987
3,0.1,12,0.03,0.01,13,12,3.8,1.1,-4.87,trop,10.22,-66.23,50,low,(132)Lounibos et al. 1987
3,18.9,37,4.6,0.76,34.7,121,4.6,0.42,-0.61,trop,10.22,-66.23,50,low,(132)Lounibos et al. 1987
3,2.9,4,1,0.5,6.3,4,2.2,1.1,-0.78,temp,-30.63,-71.67,270,low,(133)Meserve et al. 1993
3,1086,16,713.2,178.3,1692,16,458.4,114.6,-0.44,temp,31.89,-109.17,1628,montane,(134)Munger 1992
3,0.1,15,0.01,0,20.93,15,27.02,6.98,-5.34,trop,10.42,-84.02,95,low,(135)Naeem 1990
3,10.2,6,5.68,2.32,14.66,6,4.26,1.74,-0.36,trop,10.42,-83.97,58,low,(136)Otis et al. 1986
3,37.25,6,25.29,10.33,58.82,6,25.14,10.26,-0.46,trop,10.42,-83.97,58,low,(136)Otis et al. 1986
3,15.3,2,4.1,2.9,52.6,2,8.2,2.9,-1.23,temp,-33.62,145.62,129,low,(137)Pech et al. 1992
3,0.05,15,0.06,0.02,0.4,15,0.24,0.06,-2.08,temp,36.6,-119.51,103,low,(138)Rosenheim et al 1993
3,0.92,15,0.65,0.17,0.4,15,0.24,0.06,0.83,temp,36.6,-119.51,103,low,(138)Rosenheim et al 1993
3,0.47,15,0.86,0.22,2,15,0.75,0.19,-1.44,temp,36.6,-119.51,103,low,(138)Rosenheim et al 1993
3,78.67,3,31.66,18.28,268.67,3,77.68,44.85,-1.23,trop,24.17,-76.44,4,low,(139)Spiller and Schoener 1990
3,15.8,8,1.7,0.6,64,8,4.24,1.5,-1.4,temp,42.37,-71.12,7,low,(140)Stamp and Bowers 1988
3,0.31,5,0,0,0.44,5,0.02,0.01,-0.35,temp,42.37,-71.12,7,low,(140)Stamp and Bowers 1988
3,0.7,15,0.39,0.1,24.5,15,22.85,5.9,-3.56,trop,-2.42,-59.8,118,low,(142)Vasconcelos 1991
3,0.21,47,0.55,0.08,2.25,8,1.58,0.56,-2.37,trop,-3.08,-60,31,low,(70)Vasconcelos and Casimiro 1997
3,37.5,9,9.9,3.3,54.2,6,11.27,4.6,-0.37,temp,54.15,-2.77,107,low,(81)Warrington 1985
3,2.14,7,1.38,0.52,5.29,7,3.41,1.29,-0.91,trop,-6.16,144.24,1000,montane,(143)Whalen and MacKay 1988
3,0,31,0.04,0.01,0.13,27,0.32,0.06,-4.55,trop,-2.4,-59.87,104,low,(144)Fonseca 1994
3,4.44,24,3.11,0.63,14.6,24,3.11,0.63,-1.19,trop,32.03,-111.98,696,montane,(145)Bock et al. 1992
3,13.64,16,14.55,3.64,40,16,7.27,1.82,-1.08,trop,32.03,-111.98,696,montane,(145)Bock et al. 1992
3,2.4,15,3.3,0.85,7.8,15,4.5,1.16,-1.18,temp,39.73,-123.65,479,low,(146)Chase et al. 1998
3,6.32,3,1.64,0.95,11.68,3,1.64,0.95,-0.62,temp,38.51,-90.55,229,low,(147)Marquis and Whelan 1994
3,0.35,20,0.54,0.12,1.85,20,1.53,0.34,-1.67,trop,29.32,-82.82,30,low,(148)Barton 1986
3,0.07,40,0.1,0.02,0.35,40,0.73,0.12,-1.61,trop,29.32,-82.82,30,low,(148)Barton 1986
3,4.62,21,10.58,2.31,73.85,25,138.46,27.69,-2.77,temp,41.24,-112.02,1296,montane,(77)Floate and Whitham 1994
3,0.1,16,0.01,0,1.43,16,1.16,0.29,-2.66,trop,2.57,9.83,38,low,(78)Gaume et al. 1997
3,35.9,25,13.6,2.72,28.4,25,13.9,2.78,0.23,temp,38.95,-106.99,3091,montane,(149)Inouye and Taylor 1979
3,0.7,325,1.37,0.08,2.98,339,1.9,0.1,-1.45,trop,9.9,-83.68,656,montane,(150)Koptur 1984
3,1.04,190,1.86,0.13,1.57,192,2.48,0.18,-0.41,trop,9.9,-83.68,656,montane,(150)Koptur 1984
3,0.87,11,1.27,0.38,2.31,32,1.48,0.26,-0.97,temp,69.75,27,158,low,(151) Laine and Niemela 1981
3,6,13,2.16,0.6,6.2,13,2.52,0.7,-0.03,temp,42.43,-76.52,118,low,(152)Messina 1981
