S.No,study_id,Publication,Phytopathogen,Plants,Plant species,Plant family,Life style,Microbial species,Types of microbes,Microbial richness,Method of application,Experimental condition,Experimental duration,Response variable,Unit,N_ctrl,mean_ctrl,SD_ctrl,N_trt,mean_trt,SD_trt,R,lnR,Var(lnR)
11,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Soil drench,Field condition,15DAI,Shoot dry weight,g,4,8.1,3.5151,4,12,3.9042,1.481481481,0.393042588,0.073544119
12,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Soil drench,Field condition,15DAI,Shoot dry weight,g,4,8.1,3.5151,4,15.5,3.9042,1.913580247,0.648975962,0.062942334
13,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Foliar spray,Field condition,15DAI,Root dry weight,g,4,0.8,0.8485,4,0.6,1.55,0.75,-0.287682072,1.949634125
14,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Foliar spray,Field condition,15DAI,Root dry weight,g,4,0.8,0.8485,4,1.1,1.55,1.375,0.318453731,0.777615645
15,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Soil drench,Field condition,15DAI,Root dry weight,g,4,0.8,0.8485,4,1.1,1.55,1.375,0.318453731,0.777615645
16,1,Abo-Elyousr et al. 2012,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Co-inoculation,Soil drench,Field condition,15DAI,Root dry weight,g,4,0.8,0.8485,4,1.2,1.55,1.5,0.405465108,0.698332042
17,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Soil drench,Green house,50DAI,Wilt incidence,%,4,73.32,13.3,4,13.33,7.77,0.181805783,-1.704816289,0.093168039
18,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Seed treatment,Green house,50DAI,Wilt incidence,%,4,73.32,13.3,4,8.88,4.44,0.12111293,-2.111031866,0.070726183
19,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Soil drench,Green house,50DAI,Plant Height,centimeter,4,18.77,1.56,4,28.89,3.58,1.539158231,0.431235664,0.005565811
20,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Seed treatment,Green house,50DAI,Plant Height,centimeter,4,18.77,1.56,4,33.55,1.46,1.787426745,0.580777013,0.002200309
21,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Soil drench,Green house,50DAI,Fresh weight,g,4,11.63,1.56,4,20.47,0.86,1.760103181,0.565372433,0.004939374
22,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Seed treatment,Green house,50DAI,Fresh weight,g,4,11.63,1.56,4,23.63,1.3,2.031814273,0.708929125,0.005254764
23,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Soil drench,Green house,50DAI,Dry weight,g,4,2.7,0.64,4,4.2,0.14,1.555555556,0.441832752,0.014324417
24,2,Algam et al. 2010,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Paenibacillus polymyxa,Bacillus spp.,Single,Seed treatment,Green house,50DAI,Dry weight,g,4,2.7,0.64,4,4.98,0.14,1.844444444,0.612178118,0.014244217
25,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus subtilis,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Wilt incidence,%,3,2175,0.4758,3,465,0.4758,0.213793103,-1.542746538,3.65E-07
26,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Wilt incidence,%,3,2175,0.4758,3,742.5,0.4758,0.34137931,-1.074761073,1.53E-07
27,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Serratia marcescens,others,Single,Stem injection method,Green house,70DAI,Wilt incidence,%,3,2175,0.4758,3,1612,0.4758,0.741149425,-0.29955302,4.50E-08
28,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Wilt incidence,%,3,2175,0.4758,3,775.5,0.4758,0.356551724,-1.031275961,1.41E-07
29,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus pumilus,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Wilt incidence,%,3,2175,0.4758,3,1050,0.4758,0.482758621,-0.7282385,8.44E-08
30,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Stem injection method,Green house,70DAI,Wilt incidence,%,3,2175,0.4758,3,577.5,0.4758,0.265517241,-1.326075501,2.42E-07
31,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus subtilis,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Plant height,centimeter,3,28,2.15,3,46.5,2.525,1.660714286,0.507247802,0.002948218
32,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Plant height,centimeter,3,28,2.15,3,42,2.525,1.5,0.405465108,0.003170115
33,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Serratia marcescens,others,Single,Stem injection method,Green house,70DAI,Plant height,centimeter,3,28,2.15,3,34.37,2.525,1.2275,0.204979581,0.003764395
34,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Plant height,centimeter,3,28,2.15,3,41.5,2.525,1.482142857,0.393488917,0.003199321
35,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus pumilus,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Plant height,centimeter,3,28,2.15,3,43.25,2.525,1.544642857,0.434792723,0.003101482
36,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Stem injection method,Green house,70DAI,Plant height,centimeter,3,28,2.15,3,43.5,2.525,1.553571429,0.440556428,0.00308846
37,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus subtilis,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Fresh weight,g,3,29.2,1.45,3,43.175,1.177,1.47859589,0.391092915,0.00106968
38,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Fresh weight,g,3,29.2,1.45,3,33.75,1.177,1.155821918,0.144811708,0.001227357
39,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Serratia marcescens,others,Single,Stem injection method,Green house,70DAI,Fresh weight,g,3,29.2,1.45,3,30.613,1.177,1.048390411,0.047256046,0.001314699
40,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Fresh weight,g,3,29.2,1.45,3,33.175,1.177,1.136130137,0.127627871,0.001241532
41,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus pumilus,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Fresh weight,g,3,29.2,1.45,3,34.45,1.177,1.179794521,0.165340288,0.00121105
42,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Stem injection method,Green house,70DAI,Fresh weight,g,3,29.2,1.45,3,35.525,1.177,1.216609589,0.196067965,0.001187858
43,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus subtilis,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Dry weight,g,3,2.325,0.85725,3,5.9,0.71,2.537634409,0.931232312,0.050142766
44,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Dry weight,g,3,2.325,0.85725,3,4.575,0.71,1.967741935,0.67688666,0.053343717
45,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Serratia marcescens,others,Single,Stem injection method,Green house,70DAI,Dry weight,g,3,2.325,0.85725,3,4.15,0.71,1.784946237,0.579388295,0.055072226
46,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Paenibacillus macerans,others,Single,Stem injection method,Green house,70DAI,Dry weight,g,3,2.325,0.85725,3,4.475,0.71,1.924731183,0.654786313,0.053706525
47,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Bacillus pumilus,Bacillus spp.,Single,Stem injection method,Green house,70DAI,Dry weight,g,3,2.325,0.85725,3,4.675,0.71,2.010752688,0.698509124,0.053003942
48,3,Aliye et al. 2008,Ralstonia solanacearum,Potato,Solanum tuberosum,Solanaceae,Perennial,Pseudomonas fluorescens,Pseudomonas spp.,Single,Stem injection method,Green house,70DAI,Dry weight,g,3,2.325,0.85725,3,4.825,0.71,2.075268817,0.730090696,0.052533342
49,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,9.4,15.3,0.119153251,-2.127344788,0.724423429
50,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,81.11,33.18,1.028140449,0.027751781,0.103939911
51,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,83.37,29.6,1.056787933,0.055234055,0.093618528
52,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,88.43,20.1,1.120927874,0.114156801,0.07502065
53,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,82.09,37.62,1.040562809,0.039761729,0.114609073
54,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,79.86,34.98,1.012295601,0.012220625,0.110069126
55,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,52.26,24.72,0.662441374,-0.411823217,0.118041373
56,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,16.48,14.06,0.208898466,-1.565906953,0.244073015
57,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,14.12,20.24,0.178983395,-1.720462245,0.575783294
58,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Wilt incidence,%,4,78.89,39.32,4,12.96,6.42,0.164279376,-1.806186786,0.123452457
59,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,52.36,5.76,1.226516749,0.20417824,0.016798249
60,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,46.53,3.58,1.089950808,0.086132565,0.015252754
61,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,53.14,4.34,1.244788007,0.21896524,0.015440369
62,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,48.28,4.22,1.130944015,0.123052695,0.015682815
63,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,46.28,8.04,1.084094636,0.080745202,0.021317936
64,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,53.47,11.6,1.252518154,0.225156048,0.025539012
65,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,50.19,4.54,1.175685172,0.161851103,0.015818413
66,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,61.33,1.1,1.436636215,0.362304419,0.013853251
67,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,61.28,3.26,1.43546498,0.361488825,0.014480347
68,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,42.69,10.02,4,56.44,2.9,1.322089482,0.279213426,0.014432856
69,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,4,21.98,12.3,4,26.24,6.26,1.193812557,0.177152015,0.0925165
70,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,13.8,12.28,0.627843494,-0.465464357,0.276248451
71,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,16.18,10.56,0.736123749,-0.306357037,0.184778425
72,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,10.5,1.9,0.477707006,-0.738757692,0.086473879
73,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,17.14,13.44,0.779799818,-0.248718036,0.232003172
74,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,23.47,5.64,1.067788899,0.065590061,0.092724775
75,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,27.33,3.02,1.243403094,0.217852051,0.081340571
76,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,34.38,10.76,1.564149227,0.447342051,0.102775909
77,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,35.34,13.82,1.607825296,0.474882518,0.116519585
78,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,4,21.98,12.3,4,30.77,6.5,1.399909008,0.33640724,0.089444021
79,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,4.41,0.74,1.479865772,0.391951389,0.090323785
80,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,3.02,1.22,1.013422819,0.013333531,0.124083186
81,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,3.32,0.5,1.11409396,0.108041482,0.088954808
82,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,2.42,0.96,0.812080537,-0.20815576,0.122626112
83,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,3.31,0.6,1.110738255,0.105024889,0.091499139
84,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,3.09,1.02,1.036912752,0.03624779,0.110525559
85,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,4.03,0.68,1.352348993,0.301843075,0.090402369
86,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,5.71,1.72,1.916107383,0.650295723,0.1059688
87,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,5.42,1.54,1.818791946,0.598172515,0.103467405
88,4,Almoneafy et al. 2012,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus spp.,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,4,2.98,1.72,4,5.48,1.38,1.838926174,0.6091818,0.099138471
89,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus amyloliquefaciens,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,5,43.58,3.93,5,51.65,5.23,1.185176687,0.169891866,0.003677105
90,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus subtilis,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,5,43.58,3.93,5,54.27,4.04,1.245296007,0.219373259,0.00273479
91,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus amyloliquefaciens,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,5,43.58,3.93,5,56.6,7.08,1.298760899,0.261410656,0.004755868
92,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus methylotrophicus,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Plant height,centimeter,5,43.58,3.93,5,52.2,8.21,1.197797155,0.180484165,0.00657383
93,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus amyloliquefaciens,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,5,11.31,1.45,5,13.93,1.35,1.231653404,0.208357498,0.005165742
94,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus subtilis,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,5,11.31,1.45,5,16.7,2.07,1.476569408,0.389721429,0.006360135
95,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus amyloliquefaciens,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,5,11.31,1.45,5,17.18,1.69,1.519009726,0.418058626,0.00522265
96,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus methylotrophicus,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Fresh weight,g,5,11.31,1.45,5,16.73,0.27,1.479221927,0.391516225,0.003339402
97,4,Almoneafy et al. 2014,Ralstonia solanacearum,Tomato,Solanum lycopersicon,Solanaceae,Annual,Bacillus amyloliquefaciens,Bacillus spp.,Single,Seed treatment,Green house,30DAI,Dry weight,g,5,1.8,0.25,5,2.19,0.22,1.216666667,0.196114879,0.005876331
