study_id,MAT,MAP (mm),_Whole-day,Facility,Facility-1,Experimental duration (month),Other treatments,Expeimental type,Latitude,Plant part-1,Plant part-2,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit,Response ratio,Variance of response ratio,species,PFT-1,PFT-2,PFT-3,PFT-4
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,aboveground,stem,282.35,420.76,46.98,93.95,2,2,g/tree,0.4,0.04,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,aboveground,stem,623.83,753.79,98.02,73.52,8,8,g/tree,0.19,0,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,total,,852.6,1212.46,31.32,133.1,2,2,g/tree,0.35,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,3,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,total,,1689.53,1992.78,196.05,196.05,8,8,g/tree,0.17,0,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,aboveground,leaf,182.7,260.21,39.15,148.76,2,2,g/tree,0.35,0.19,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,aboveground,leaf,415.88,433.21,49.01,196.05,8,8,g/tree,0.04,0.03,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,belowground,root,387.54,586.85,78.3,375.82,2,2,g/tree,0.41,0.23,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,belowground,root,658.48,771.12,98.02,514.63,8,8,g/tree,0.16,0.06,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,aboveground,stem,282.35,393.08,46.98,164.42,2,2,g/tree,0.33,0.1,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,aboveground,stem,623.83,701.81,98.02,171.54,8,8,g/tree,0.12,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,12,,pot,,total,,852.6,1234.6,31.32,227.06,2,2,g/tree,0.37,0.02,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Allen & Vu 2009,,,4.5,Temperature-gradient-greenhouse,Greenhouse,24,,pot,,total,,1689.53,1949.46,196.05,441.11,8,8,g/tree,0.14,0.01,Ambersweet orange,seed plant,woody,shrub,evergreen-shrub
Apple et al. 2000,,,4,Environment-controlled-chamber,Chamber,40,,pot,,aboveground,leaf,105,101,3.74,14.97,14,14,g/m2,-0.04,0,Pseudotsuga menziesii,seed plant,woody,tree,evergreen-tree
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,0.5,CO2,pot,,total,,0.17,0.17,0.02,0.13,40,40,g/plant,0,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,CO2,pot,,total,,0,0,0,0,40,40,g/plant,0.32,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,0.5,drought,pot,,total,,0.2,0.16,0.07,0.02,40,40,g/plant,-0.22,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought,pot,,total,,0,0,0,0,40,40,g/plant,0.21,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,0.5,drought+CO2,pot,,total,,0.19,0.21,0.06,0.09,40,40,g/plant,0.1,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,drought+CO2,pot,,total,,0,0,0,0,40,40,g/plant,0.22,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,0.5,,pot,,total,,0.15,0.2,0.08,0.07,40,40,g/plant,0.29,0.01,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Aranjuelo et al. 2006,,,4,Temperature-gradient-tunnel,Greenhouse,1,,pot,,total,,0,0,0,0,40,40,g/plant,0,0,Medicago sativa cv. Arag?n,seed plant,herbaceous,forb,leguminous
Atkin et al. 2006,,,7,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,65.1,65.9,8.52,10.07,15,15,g/m2,0.01,0,Plantago euryphylla,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2006,,,7,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,58.5,29.8,5.81,3.1,15,15,g/m2,-0.67,0,Plantago lanceolata,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2006,,,7,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,58.3,35.7,3.49,3.49,15,15,g/m2,-0.49,0,Plantago major,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2006,,,14,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,65.1,85.9,8.52,10.07,15,15,g/m2,0.28,0,Plantago euryphylla,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2006,,,14,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,58.5,30.7,5.81,3.1,15,15,g/m2,-0.64,0,Plantago lanceolata,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2006,,,14,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,58.3,37.6,3.49,1.94,15,15,g/m2,-0.44,0,Plantago major,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,7,Environment-controlled-chamber,Chamber,3,,pot,,aboveground,leaf,83.6,66.8,5.4,1.6,4,4,g/m2,-0.22,0,Plantago euryphylla,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,7,Environment-controlled-chamber,Chamber,3,,pot,,aboveground,leaf,62.9,44.6,1.2,3.2,4,4,g/m2,-0.34,0,Plantago major,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,7,Environment-controlled-chamber,Chamber,3,,pot,,total,,25.19,42.71,2.92,3.65,4,4,g/(g*yr),0.53,0.01,Plantago euryphylla,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,7,Environment-controlled-chamber,Chamber,3,,pot,,total,,28.84,63.15,1.46,8.03,4,4,g/(g*yr),0.78,0,Plantago major,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,14,Environment-controlled-chamber,Chamber,3,,pot,,aboveground,leaf,62.9,38.1,1.2,1.6,4,4,g/m2,-0.5,0,Plantago major,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,14,Environment-controlled-chamber,Chamber,3,,pot,,aboveground,leaf,83.6,75.5,5.4,4.8,4,4,g/m2,-0.1,0,Plantago uryphylla,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,14,Environment-controlled-chamber,Chamber,3,,pot,,total,,28.84,61.32,1.46,8.76,4,4,g/(g*yr),0.75,0.01,Plantago major,seed plant,herbaceous,forb,non-leguminous
Atkin et al. 2007,,,14,Environment-controlled-chamber,Chamber,3,,pot,,total,,25.19,24.82,2.92,5.11,4,4,g/(g*yr),-0.01,0.01,Plantago uryphylla,seed plant,herbaceous,forb,non-leguminous
Awal & Ikeda 2003,,,,Passive,Free-air,4,,pot,,aboveground,,1.02,1.51,0.04,0.03,4,4,g/MJ,0.39,0,Arachis hypogaea cv.Chibahandachi,seed plant,herbaceous,forb,leguminous
Awal & Ikeda 2003,,,,Passive,Free-air,4,,pot,,aboveground,,1.34,1.53,0.06,0.06,4,4,g/MJ,0.13,0,Arachis hypogaea cv.Chibahandachi,seed plant,herbaceous,forb,leguminous
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,CO2,pot,,belowground,root,0.31,0.36,0.12,0.13,6,6,g,0.15,0.05,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,CO2,pot,,belowground,root,0.31,0.42,0.12,0.09,6,6,g,0.28,0.03,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,CO2,pot,,total,,11.97,15.63,3,5.35,6,6,g,0.27,0.03,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,CO2,pot,,total,,11.97,18.78,3,1.71,6,6,g,0.45,0.01,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,0.18,0.23,0.05,0.06,6,6,g,0.26,0.02,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,,pot,,belowground,root,0.18,0.25,0.05,0.1,6,6,g,0.32,0.04,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,,pot,,total,,9.61,11.18,2.78,3.64,6,6,g,0.15,0.03,Eriophorum vaginatum,seed plant,herbaceous,grass,
Bassirirad et al. 1996,,,,Environment-controlled-chamber,Chamber,2,,pot,,total,,9.61,14.93,2.78,4.06,6,6,g,0.44,0.03,Eriophorum vaginatum,seed plant,herbaceous,grass,
Biasi et al. 2008,-8.8,370,3.6,OTC,OTC,24,,field,67.93,aboveground,,149.82,172.76,64.12,76.94,20,20,g/m2,0.14,0.02,"deciduous shrubs(Betula nana, Vaccinium uligunosum, Salix glauca)",seed plant,woody,shrub,deciduous-shrub
Biasi et al. 2008,-8.8,370,3.6,OTC,OTC,24,,field,67.93,aboveground,,5.73,10.75,19.23,19.23,20,20,g/m2,0.63,0.72,Vaccinium vitisideae,seed plant,woody,shrub,evergreen-shrub
Biasi et al. 2008,-8.8,370,3.6,OTC,OTC,24,,field,67.93,aboveground,,7.89,7.89,6.41,6.41,20,20,g/m2,0,0.07,sedges,seed plant,herbaceous,grass,
Biasi et al. 2008,-8.8,370,3.6,OTC,OTC,24,,field,67.93,aboveground,,733.81,604.32,868.69,514.78,20,20,g/m2,-0.19,0.11,green mosses,spore plant,,,
Biasi et al. 2008,-8.8,370,3.6,OTC,OTC,24,,field,67.93,aboveground,,1050.36,1589.93,579.13,514.78,20,20,g/m2,0.41,0.02,lichens,spore plant,,,
Boelman et al. 2003,-7.8,325,4.4,Greenhouse,Greenhouse,145,F,field,68.63,aboveground,,214.53,153.98,46.42,42.55,5,5,g/m2,-0.33,0.02,,,,,
Boelman et al. 2003,-7.8,325,4.4,Greenhouse,Greenhouse,145,,field,68.63,aboveground,,95.16,132.35,19.34,17.41,5,5,g/m2,0.33,0.01,,,,,
Boelman et al. 2005,-7.8,320,4.4,Greenhouse,Greenhouse,156,F,field,68.63,aboveground,,788.56,1634.41,334.31,943.95,15,15,g/m2,0.73,0.03,,,,,
Boelman et al. 2005,-7.8,320,4.4,Greenhouse,Greenhouse,156,F,field,68.63,aboveground,,580.69,1426.54,277.63,791.25,15,15,g/m2,0.9,0.04,,,,,
Boelman et al. 2005,-7.8,320,4.4,Greenhouse,Greenhouse,156,F,field,68.63,aboveground,,179.35,208.01,87.8,118.6,15,15,g/m2,0.15,0.04,,,,,
Boelman et al. 2005,-7.8,320,4.4,Greenhouse,Greenhouse,156,,field,68.63,aboveground,,436.35,709.06,140.83,422.49,15,15,g/m2,0.49,0.03,,,,,
Boelman et al. 2005,-7.8,320,4.4,Greenhouse,Greenhouse,156,,field,68.63,aboveground,,145.45,381.8,70.41,211.24,15,15,g/m2,0.97,0.04,,,,,
Boelman et al. 2005,-7.8,320,4.4,Greenhouse,Greenhouse,156,,field,68.63,aboveground,,291.46,381.8,140.83,140.83,15,15,g/m2,0.27,0.02,,,,,
Bos et al. 2000,,,5,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,0.24,0.28,0.02,0.02,6,6,g,0.16,0,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,5,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,0.51,0.7,0.06,0.06,6,6,g,0.32,0,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,5,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,1.02,1.26,0.09,0.09,6,6,g,0.21,0,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,5,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,1.41,1.75,0.13,0.13,6,6,g,0.21,0,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,10,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,0.24,0.19,0.02,0.02,6,6,g,-0.21,0,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,10,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,0.51,0.43,0.06,0.06,6,6,g,-0.16,0.01,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,10,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,1.02,0.73,0.09,0.09,6,6,g,-0.34,0,Zea mays,seed plant,herbaceous,grass,
Bos et al. 2000,,,10,Environment-controlled-chamber,Chamber,2,,pot,,aboveground,leaf,1.41,1.01,0.13,0.13,6,6,g,-0.34,0,Zea mays,seed plant,herbaceous,grass,
Breuwer et al. 2008,,,3.1,Greenhouse,Greenhouse,5.1,,pot,,total,,17,12,3.74,3.74,14,14,g/dm3,-0.35,0.01,Sphagnum balticum,spore plant,,,
Breuwer et al. 2008,,,3.1,Greenhouse,Greenhouse,5.1,,pot,,total,,12,12,3.16,0,10,10,g/dm3,0,0.01,Sphagnum cuspidata,spore plant,,,
Breuwer et al. 2008,,,3.1,Greenhouse,Greenhouse,5.1,,pot,,total,,22,21,3.16,6.32,10,10,g/dm3,-0.05,0.01,Sphagnum fuscum,spore plant,,,
Breuwer et al. 2008,,,3.1,Greenhouse,Greenhouse,5.1,,pot,,total,,13,11,3.87,0,15,15,g/dm3,-0.17,0.01,Sphagnum magellanicum,spore plant,,,
Breuwer et al. 2008,,,6.6,Greenhouse,Greenhouse,5.1,,pot,,total,,17,10,3.74,3.74,14,14,g/dm3,-0.53,0.01,Sphagnum balticum,spore plant,,,
Breuwer et al. 2008,,,6.6,Greenhouse,Greenhouse,5.1,,pot,,total,,12,10,3.16,3.16,10,10,g/dm3,-0.18,0.02,Sphagnum cuspidata,spore plant,,,
Breuwer et al. 2008,,,6.6,Greenhouse,Greenhouse,5.1,,pot,,total,,22,17,3.16,3.16,10,10,g/dm3,-0.26,0.01,Sphagnum fuscum,spore plant,,,
Breuwer et al. 2008,,,6.6,Greenhouse,Greenhouse,5.1,,pot,,total,,13,9,3.87,3.87,15,15,g/dm3,-0.37,0.02,Sphagnum magellanicum,spore plant,,,
Breuwer et al. 2008,,,10,Greenhouse,Greenhouse,5.1,,pot,,total,,17,10,3.74,3.74,14,14,g/dm3,-0.53,0.01,Sphagnum balticum,spore plant,,,
Breuwer et al. 2008,,,10,Greenhouse,Greenhouse,5.1,,pot,,total,,12,9,3.16,0,10,10,g/dm3,-0.29,0.01,Sphagnum cuspidata,spore plant,,,
Breuwer et al. 2008,,,10,Greenhouse,Greenhouse,5.1,,pot,,total,,22,13,3.16,3.16,10,10,g/dm3,-0.53,0.01,Sphagnum fuscum,spore plant,,,
Breuwer et al. 2008,,,10,Greenhouse,Greenhouse,5.1,,pot,,total,,13,8,3.87,0,15,15,g/dm3,-0.49,0.01,Sphagnum magellanicum,spore plant,,,
Briones et al. 2009,8,900,3.5,Heat-cable,Free-air,23,,field,55.5,aboveground,,40.16,34.14,22.78,16.51,6,6,g/m2,-0.16,0.09,,,,,
Briones et al. 2009,8,900,3.5,Heat-cable,Free-air,23,,field,55.5,belowground,root,244.15,335.43,40.61,36.62,6,6,g/m2,0.32,0.01,,,,,
Bronson et al. 2008,-3.2,510,5,Greenhouse,Greenhouse,3,,field,55.88,belowground,root,484.62,409.62,184.62,176.92,4,4,g/m2,-0.17,0.08,,,,,
Bronson et al. 2008,-3.2,510,5,Greenhouse,Greenhouse,3,,field,55.88,belowground,root,328.85,223.08,84.62,119.23,4,4,g/m2,-0.39,0.09,,,,,
Bronson et al. 2008,-3.2,510,5,Greenhouse,Greenhouse,15,,field,55.88,belowground,root,490.38,365.38,238.46,107.69,4,4,g/m2,-0.29,0.08,,,,,
Bronson et al. 2008,-3.2,510,5,Greenhouse,Greenhouse,15,,field,55.88,belowground,root,284.62,175,30.77,130.77,4,4,g/m2,-0.49,0.14,,,,,
Bruhn et al. 2007,,,0.2,IR-heat,Free-air,10,,pot,,total,,52.82,56.62,10.24,14.25,10,10,g,0.07,0.01,Eucalyptus pauciflora,seed plant,woody,tree,evergreen-tree
Bruhn et al. 2007,,,0.6,IR-heat,Free-air,10,,pot,,total,,52.82,64.93,10.24,21.82,10,10,g,0.21,0.02,Eucalyptus pauciflora,seed plant,woody,tree,evergreen-tree
Bruhn et al. 2007,,,1.1,IR-heat,Free-air,10,,pot,,total,,52.82,63.1,10.24,37.41,10,10,g,0.18,0.04,Eucalyptus pauciflora,seed plant,woody,tree,evergreen-tree
Bunce & Ziska 1996,,,5,Environment-controlled-chamber,Chamber,1.8,CO2,pot,,aboveground,,40.37,39.34,3.21,7.49,3,3,g/(g*yr),-0.03,0.01,"Glycine max L.(soybean:Maple Glen,Clark and CNS)",seed plant,herbaceous,forb,leguminous
Bunce & Ziska 1996,,,5,Environment-controlled-chamber,Chamber,1.8,CO2,pot,,aboveground,,38.93,39.14,1.78,4.64,3,3,g/(g*yr),0.01,0.01,"Glycine max L.(soybean:Maple Glen,Clark and CNS)",seed plant,herbaceous,forb,leguminous
Bunce & Ziska 1996,,,11,Environment-controlled-chamber,Chamber,1.8,CO2,pot,,aboveground,,40.37,59.12,3.21,13.2,3,3,g/(g*yr),0.38,0.02,"Glycine max L.(soybean:Maple Glen,Clark and CNS)",seed plant,herbaceous,forb,leguminous
Bunce & Ziska 1996,,,11,Environment-controlled-chamber,Chamber,1.8,CO2,pot,,aboveground,,38.93,62,1.78,12.84,3,3,g/(g*yr),0.47,0.02,"Glycine max L.(soybean:Maple Glen,Clark and CNS)",seed plant,herbaceous,forb,leguminous
Bunce & Ziska 1996,,,5,Environment-controlled-chamber,Chamber,1.8,,pot,,aboveground,,35.02,42.43,3.92,5.35,3,3,g/(g*yr),0.19,0.01,"Glycine max L.(soybean:Maple Glen,Clark and CNS)",seed plant,herbaceous,forb,leguminous
Bunce & Ziska 1996,,,11,Environment-controlled-chamber,Chamber,1.8,,pot,,aboveground,,35.02,55.2,3.92,11.42,3,3,g/(g*yr),0.46,0.02,"Glycine max L.(soybean:Maple Glen,Clark and CNS)",seed plant,herbaceous,forb,leguminous
Callaway et al. 1994,,,5,Environment-controlled-chamber,Chamber,1,CO2,pot,,total,,0.29,0.34,0.03,0.04,16,16,g,0.18,0,Pinus ponderosa,seed plant,woody,tree,evergreen-tree
Callaway et al. 1994,,,5,Environment-controlled-chamber,Chamber,2,CO2,pot,,total,,1.76,2.15,0.28,0.36,16,16,g,0.2,0,Pinus ponderosa,seed plant,woody,tree,evergreen-tree
Callaway et al. 1994,,,5,Environment-controlled-chamber,Chamber,1,,pot,,total,,0.27,0.27,0.03,0.03,16,16,g,0,0,Pinus ponderosa,seed plant,woody,tree,evergreen-tree
Callaway et al. 1994,,,5,Environment-controlled-chamber,Chamber,2,,pot,,total,,1.66,1.7,0.28,0.32,16,16,g,0.02,0,Pinus ponderosa,seed plant,woody,tree,evergreen-tree
Casella et al. 1996,,,3,Passive,Free-air,8,CO2,pot  ,,aboveground,,570,580,77.46,154.92,15,15,g/m2,0.02,0.01,annual above-ground dry-matter yield of perennial ryegrass swards,seed plant,herbaceous,grass,
Casella et al. 1996,,,3,Passive,Free-air,8,CO2,pot  ,,aboveground,,660,650,116.19,154.92,15,15,g/m2,-0.02,0.01,annual above-ground dry-matter yield of perennial ryegrass swards,seed plant,herbaceous,grass,
Casella et al. 1996,,,3,Passive,Free-air,20,F+CO2,pot  ,,aboveground,,1620,1440,193.65,154.92,15,15,g/m2,-0.12,0,annual above-ground dry-matter yield of perennial ryegrass swards,seed plant,herbaceous,grass,
Casella et al. 1996,,,3,Passive,Free-air,20,F+CO2,pot  ,,aboveground,,1790,1840,232.38,116.19,15,15,g/m2,0.03,0,annual above-ground dry-matter yield of perennial ryegrass swards,seed plant,herbaceous,grass,
Casella et al. 1996,,,3,Passive,Free-air,8,F+CO2+water,pot  ,,aboveground,,1870,1980,387.3,387.3,15,15,g/m2,0.06,0.01,annual above-ground dry-matter yield of perennial ryegrass swards,seed plant,herbaceous,grass,
Casella et al. 1996,,,3,Passive,Free-air,20,F+CO2+water,pot  ,,aboveground,,1790,1940,387.3,387.3,15,15,g/m2,0.08,0.01,annual above-ground dry-matter yield of perennial ryegrass swards,seed plant,herbaceous,grass,
