study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Dijkstra et al. 2010 (FE),44,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,High water,Fig. 2,Monocultures,No,Grassland,average of five species,0.4016,0.4036,0.0444,0.0381,10,10,0.005,0.0021,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (FE),45,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,Low water,Fig. 2,Mixtures,No,Grassland,average of five species,0.3554,0.3313,0.0508,0.0381,10,10,-0.0702,0.0034,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (FE),46,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,High water,Fig. 2,Mixtures,No,Grassland,average of five species,0.3574,0.3936,0.0444,0.0698,10,10,0.0965,0.0047,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (NP),47,*,600,*,3.0,41°11' N,104°54' W,USA,FACE,g m-2,No,Fig. 3 + Table 2,Sum of ANP and BNP,No,Grassland,northern mixed-grass prairie,5.2381,4.8778,0.6579,0.6744,5,5,-0.0713,0.007,,,,,,,,,,,,,,,,,,
Dijkstra et al. 2010 (NP),48,*,600,*,3.0,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Fig. 3 + Table 2,Sum of ANP and BNP,No,Grassland,northern mixed-grass prairie,5.2453,6.1765,0.7149,0.8032,5,5,0.1634,0.0071,,,,,,,,,,,,,,,,,,
Duan et al. 2013,49,350,700,350,0.5,31°41'N,103°54'E,China,GC,g N plant-1,No,Fig. 2d,*,No,Forest,P. yunnanensis,0.3505,0.2829,0.0391,0.0534,4,4,-0.2143,0.012,,,,,,,,,,,,,,,,,,
Duan et al. 2013,50,350,700,350,0.5,31°41'N,103°54'E,China,GC,g N plant-1,No,Fig. 2d,*,No,Forest,A. faxoniana,0.3381,0.3363,0.0356,0.0427,4,4,-0.0053,0.0068,,,,,,,,,,,,,,,,,,
Duan et al. 2013,51,350,700,350,0.5,31°41'N,103°54'E,China,GC,g N plant-1,Warming,Fig. 2d,*,No,Forest,P. yunnanensis,0.3399,0.3114,0.0178,0.0463,4,4,-0.0876,0.0062,,,,,,,,,,,,,,,,,,
Duan et al. 2013,52,350,700,350,0.5,31°41'N,103°54'E,China,GC,g N plant-1,Warming,Fig. 2d,*,No,Forest,A. faxoniana,0.4253,0.3541,0.0427,0.0498,4,4,-0.1832,0.0075,,,,,,,,,,,,,,,,,,
Feng & Flessa 2004,53,350,700,350,0.3,*,*,*,GC,g N,Nitrogen,Table 1,N concentration * dry mass/100,Yes,Forest,Black locust,0.1064,0.1610,0.0142,0.0134,6,6,0.4142,0.0041,,,,,,,,,,,,,,,,,,
Finzi et al. 2002,54,365,560,195,4.0,35°58' N,79°5' W,USA,FACE,g N m-2 land,No,Table 2,*,No,Forest,Pine,38.4325,39.4675,3.0431,2.7455,3,3,0.0266,0.0037,,,,,,,,,,,,,,,,,,
Franzaring et al. 2012,55,380,550,170,0.4,*,*,Germany,GC,g plant-1,No,Fig. 3 (a+b+c+d),0 g N,No,*,*,0.2359,0.2497,0.0236,0.0250,6,6,0.0569,0.0033,,,,,,,,,,,,,,,,,,
Franzaring et al. 2012,56,380,550,170,0.4,*,*,Germany,GC,g plant-1,Nitrogen,Fig. 3 (a+b+c+d),75 kg N ha-1 yr-1,Yes,*,*,0.3784,0.3834,0.0378,0.0383,6,6,0.0131,0.0033,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,57,370,570,200,4.0,*,*,Switzerland,OTC,g m-2,Low Nitrogen,Fig. 4,Acidic loam,Yes,Forest,*,14.8805,15.4266,1.6382,1.9113,4,4,0.036,0.0069,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,58,370,570,200,4.0,*,*,Switzerland,OTC,g m-2,Low Nitrogen,Fig. 4,Calcareous sand,Yes,Forest,*,32.3549,33.3106,1.3652,2.4573,4,4,0.0291,0.0018,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,59,370,570,200,4.0,*,*,Switzerland,OTC,g m-2,High Nitrogen,Fig. 4,Acidic loam,Yes,Forest,*,23.0717,22.6621,2.3072,2.2662,4,4,-0.0179,0.005,,,,,,,,,,,,,,,,,,
Hagedorn et al. 2000,60,370,570,200,4.0,*,*,Switzerland,OTC,g m-2,High Nitrogen,Fig. 4,Calcareous sand,Yes,Forest,*,34.1297,40.6826,3.4130,4.0683,4,4,0.1756,0.005,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,61,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 1 * Table 2; APNP+BPNP,DM*N concentration,Yes,Grassland,Lolium perenne,11.8354,12.2426,1.1835,1.2243,3,3,0.0338,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,62,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 1 * Table 2; APNP+BPNP,DM*N concentration,Yes,Grassland,Trifolium repens ,27.9098,39.0774,2.7910,3.9077,3,3,0.3366,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,63,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 1 * Table 2; APNP+BPNP,DM*N concentration,Yes,Grassland,Lolium perenne,35.6583,34.6815,3.5658,3.4682,3,3,-0.0278,0.0067,,,,,,,,,,,,,,,,,,
Hartwig et al. 2002,64,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 1 * Table 2; APNP+BPNP,DM*N concentration,Yes,Grassland,Trifolium repens ,24.6938,39.4216,2.4694,3.9422,3,3,0.4678,0.0067,,,,,,,,,,,,,,,,,,
Hibbs et al. 1995,65,350,700,350,0.4,*,*,USA,GC,mg,No,Table 2,*,No,Forest,Deciduous,1.4700,2.2400,0.1470,0.2240,16,16,0.4212,0.0012,,,,,,,,,,,,,,,,,,
Hibbs et al. 1995,66,350,700,350,0.4,*,*,USA,GC,mg,Drought,Table 2,*,No,Forest,Deciduous,1.9400,2.3500,0.1940,0.2350,16,16,0.1917,0.0013,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,67,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Avena fatua,0.7787,0.9918,0.2725,0.3779,5,5,0.2419,0.0535,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,68,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Bromus hordeaceus,0.3934,0.4426,0.0916,0.0820,5,5,0.1178,0.0177,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,69,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Lolium multiflorum,0.5000,0.4344,0.1159,0.1334,5,5,-0.1406,0.0296,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,70,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Vulpia michrostachys,0.5902,0.3279,0.2445,0.1334,5,5,-0.5878,0.0674,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,71,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Lasthenia californica,0.4508,0.4590,0.1230,0.1334,5,5,0.018,0.0318,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,72,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Plantago erecta,0.8852,0.7459,0.2024,0.1334,5,5,-0.1712,0.0169,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,73,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Avena fatua,7.2951,8.7705,2.0244,1.8051,5,5,0.1842,0.0239,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,74,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Bromus hordeaceus,2.8689,5.1639,0.9164,1.7388,5,5,0.5878,0.0431,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,75,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Lolium multiflorum,4.3443,4.6721,0.7776,1.3959,5,5,0.0727,0.0243,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,76,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Vulpia michrostachys,3.4426,3.1148,0.9164,1.6898,5,5,-0.1001,0.073,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,77,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Lasthenia californica,6.2295,6.3115,1.6393,1.8691,5,5,0.0131,0.0314,,,,,,,,,,,,,,,,,,
Hungate et al. 1996,78,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Plantago erecta,7.7869,5.9836,1.8691,1.5114,5,5,-0.2634,0.0243,,,,,,,,,,,,,,,,,,
Jin et al. 2012,79,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,No,Table 2,0 mg P kg-1 soil,No,Cropland,Chickpea,13.7000,13.9000,1.3700,1.3900,4,4,0.0145,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,80,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,2 mg P kg-1 soil,No,Cropland,Chickpea,20.7000,26.6000,2.0700,2.6600,4,4,0.2508,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,81,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,4 mg P kg-1 soil,No,Cropland,Chickpea,28.6000,36.0000,2.8600,3.6000,4,4,0.2301,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,82,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,8 mg P kg-1 soil,No,Cropland,Chickpea,37.3000,56.7000,3.7300,5.6700,4,4,0.4188,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,83,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,16 mg P kg-1 soil,No,Cropland,Chickpea,54.5000,74.1000,5.4500,7.4100,4,4,0.3072,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,84,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,No,Table 2,0 mg P kg-1 soil,No,Cropland,Field pea,16.9000,19.5000,1.6900,1.9500,4,4,0.1431,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,85,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,2 mg P kg-1 soil,No,Cropland,Field pea,33.3000,36.4000,3.3300,3.6400,4,4,0.089,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,86,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,4 mg P kg-1 soil,No,Cropland,Field pea,36.8000,36.9000,3.6800,3.6900,4,4,0.0027,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,87,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,8 mg P kg-1 soil,No,Cropland,Field pea,55.0000,59.7000,5.5000,5.9700,4,4,0.082,0.005,,,,,,,,,,,,,,,,,,
Jin et al. 2012,88,350,550,200,0.2,36°42' S,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Table 2,16 mg P kg-1 soil,No,Cropland,Field pea,59.3000,69.8000,5.9300,6.9800,4,4,0.163,0.005,,,,,,,,,,,,,,,,,,
Johnson et al. 2006,89,350,612.5,262.5,6.0,38°44' N,120°45' W,USA,OTC,kg N ha-2 land,No,Fig. 1,*,No,Forest,Evergreen,119.0306,144.2194,9.8749,29.0332,3,3,0.192,0.0158,,,,,,,,,,,,,,,,,,
Johnson et al. 2006,90,350,700,350,6.0,38°44' N,120°45' W,USA,OTC,kg N ha-2 land,Low Nitrogen,Fig. 1,*,Yes,Forest,Evergreen,135.7034,145.0583,15.4711,33.9700,3,3,0.0667,0.0226,,,,,,,,,,,,,,,,,,
Johnson et al. 2006,91,350,612.5,262.5,6.0,38°44' N,120°45' W,USA,OTC,kg N ha-2 land,High Nitrogen,Fig. 1,*,Yes,Forest,Evergreen,162.2858,151.1845,14.7504,19.0506,3,3,-0.0709,0.008,,,,,,,,,,,,,,,,,,
Johnson et al. 2004,92,*,542,*,2.0,35°54' N,84°20' W,USA,FACE,kg N ha-1 land,No,Table 2,*,No,Forest,*,278.0000,288.0000,27.8000,28.8000,3,2,0.0353,0.0083,,,,,,,,,,,,,,,,,,
