Species,study_id,style,Control Day T (mean),Control Night T (mean),Control Whole-day T (mean),Increased Day T (mean),Increased Night T (mean),Increased Whole-day T (mean),DDay T,DNight T,DWhole-day T,T Position,Facility,Exposed time,Other Treatment,pot or field,Latitude,Longitude,Elevation(m),mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,Unit
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,3 years,*,field,*,*,*,6.1207,6.3793,0.0871,0.0747,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,3 years,*,field,*,*,*,6.5948,4.3966,0.1618,0.1866,12,12,μmol m-2 s-1
Acer saccharum,Gunderson 2000,day/night,*,*,26,*,*,*,*,*,3.6,air,open-top chamber,3 years,*,field,*,*,*,6.5948,5.8621,0.112,0.1493,12,12,μmol m-2 s-1
Agropyron cristatum,Wan 2009,day,*,*,18.9,*,*,*,1.04,0.61,0.82,soil at 10cm,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,4.8155,6.1359,0.2061,0.1268,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day,*,*,18.9,*,*,*,1.04,0.61,0.82,soil at 10cm,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,6.0194,6.4078,0.1744,0.111,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day,*,*,18.9,*,*,*,1.04,0.61,0.82,soil at 10cm,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,4.5049,4.9709,0.0793,0.0634,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,night,*,*,18.9,*,*,*,1.03,0.87,0.95,soil at 10cm,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,4.8155,7.2621,0.2061,0.1427,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,night,*,*,18.9,*,*,*,1.03,0.87,0.95,soil at 10cm,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,6.0194,7.2233,0.1744,0.1427,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,night,*,*,18.9,*,*,*,1.03,0.87,0.95,soil at 10cm,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,4.5049,6.4078,0.0793,0.0476,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day/night,*,*,18.9,*,*,*,*,*,*,air,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,4.8155,6.9515,0.2061,0.2695,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day/night,*,*,18.9,*,*,*,*,*,*,air,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,6.0194,7.1068,0.1744,0.0634,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day/night,*,*,18.9,*,*,*,*,*,*,air,infrared indiator,2 years,*,field,42°02′N,116°17′E,1324,4.5049,5.6311,0.0793,0.0793,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day,*,*,18.9,*,*,*,1.04,0.61,0.82,soil at 10cm,infrared indiator,3 years,*,field,42°02′N,116°17′E,1324,6.0583,5.9417,0.1268,0.0476,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,night,*,*,18.9,*,*,*,1.03,0.87,0.95,soil at 10cm,infrared indiator,3 years,*,field,42°02′N,116°17′E,1324,6.0583,6.7961,0.1268,0.1427,6,6,g C m-2 d-1
Agropyron cristatum,Wan 2009,day/night,*,*,18.9,*,*,*,*,*,*,air,infrared indiator,3 years,*,field,42°02′N,116°17′E,1324,6.0583,6.0583,0.1268,0.111,6,6,g C m-2 d-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,10.4645,10.0095,0.9851,0.8537,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,13.3081,16.1521,0.8537,0.5947,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,16.2654,14.218,1.0507,0.7224,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,11.7156,10.6919,1.1821,0.9194,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,10.237,12.8531,1.7074,0.9851,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,11.7156,15.4696,1.9056,1.3134,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,4.7773,8.8728,0.8537,1.1821,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,10.6919,12.2844,0.2077,0.7254,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,17.4028,15.5834,2.0358,0.7224,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,19.6777,17.7441,1.3134,0.6567,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,19.4506,17.1754,0.9194,1.2477,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,14.9005,16.8341,1.3134,0.9194,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,12.0569,13.1963,0.394,0.197,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,8.6445,10.9194,1.2477,0.197,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,18.5902,21.8361,0.1704,0.5111,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,13.377,13.1803,0.7383,0.9654,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,11.1148,12.9836,0.2839,0.6815,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,18.7869,20.1639,1.1358,1.079,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,22.918,23.4098,0.4543,1.1926,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,23.3115,22.7213,0.3407,0.4543,3,3,μmol m-2 s-1
Agropyron cristatum,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,15.7377,15.2459,0.2839,0.5679,3,3,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,10.5649,9.3096,0.2562,0.2135,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,10.5649,8.682,0.2562,0.2989,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.636,5.4393,0.1281,0.2135,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.3222,6.7992,0.1281,0.1281,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,4.1841,3.5565,0.1708,0.0854,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,8.8912,13.8075,0.1708,0.6833,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,12.9707,14.1213,0.2562,0.2989,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,12.0293,11.7155,0.2562,0.2135,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,8.682,7.7406,0.2989,0.0854,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,6.0669,5.3347,0.427,0.1708,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,7.113,4.3933,0.0854,0.1708,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,3.9749,3.3473,0.2562,0.1281,6,6,μmol m-2 s-1
Ambrosia psilostachya,Zhou 2007,day/night,*,*,16.3,*,*,*,*,*,1.1,air,infrared heater,1year,*,field,34°58′54″N,97°31′14″W,374,0,0,0,0,6,6,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,10.1,*,*,4.2,soil,*,28days,*,pot,*,*,*,10.9565,8.4783,0.3974,0.9272,5,5,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,15.2,*,*,9.3,soil,*,28days,*,pot,*,*,*,10.9565,24.913,0.9272,1.0596,5,5,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,20.2,*,*,14.3,soil,*,28days,*,pot,*,*,*,10.9565,20.6087,1.9868,4.5033,5,5,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,24.5,*,*,18.6,soil,*,28days,*,pot,*,*,*,10.9565,22.3043,2.7815,1.9868,5,5,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,29.7,*,*,23.8,soil,*,28days,*,pot,*,*,*,10.9565,24.2609,1.7219,0.6623,5,5,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,33.9,*,*,28,soil,*,28days,*,pot,*,*,*,10.9565,28.1739,1.0596,0.2649,5,5,μmol m-2 s-1
Andropogon gerardii,Delucia 1992,day/night,*,*,5.9,*,*,35.5,*,*,29.6,soil,*,28days,*,pot,*,*,*,10.9565,23.3478,2.7815,0.7947,5,5,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,1days,*,field,41°4′N,83°35′W,187,23.3113,16.9536,0.3974,1.3245,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,2days,*,field,41°4′N,83°35′W,187,19.6026,14.0397,1.1921,0.7947,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,3days,*,field,41°4′N,83°35′W,187,37.8311,30.7285,1.0596,1.0596,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,4days,*,field,41°4′N,83°35′W,187,39.7351,23.5762,1.7164,2.1846,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,5days,*,field,41°4′N,83°35′W,187,25.6954,18.8079,1.7164,1.5604,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,1days,N,field,41°4′N,83°35′W,187,25.9603,24.106,1.7164,0.6242,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,2days,N,field,41°4′N,83°35′W,187,24.9007,16.6887,1.7164,1.4044,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,3days,N,field,41°4′N,83°35′W,187,41.8543,33.1126,1.8725,2.1846,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,4days,N,field,41°4′N,83°35′W,187,35.7616,30.4636,1.8725,2.1846,4,4,μmol m-2 s-1
Andropogon gerardii,Wang 2008,day,*,*,*,40.5,*,*,10,*,*,air,open top chamber and electric heater,5days,N,field,41°4′N,83°35′W,187,24.3709,20.6623,1.8725,0.7802,4,4,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,25,17,*,5,5,*,air,*,40---60days,*,pot,*,*,*,26.2162,27.8378,1.8725,0.7802,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,30,22,*,10,10,*,air,*,40---60days,*,pot,*,*,*,26.2162,24.3243,1.547,0.4972,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,35,27,*,15,15,*,air,*,40---60days,*,pot,*,*,*,26.2162,20.5405,2.0442,0.3315,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,40,32,*,20,20,*,air,*,40---60days,*,pot,*,*,*,26.2162,21.6216,1.9337,1.0497,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,25,17,*,5,5,*,air,*,40---60days,CO2,pot,*,*,*,28.3784,38.6486,1.6022,0.6077,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,30,22,*,10,10,*,air,*,40---60days,CO2,pot,*,*,*,28.3784,30,1.1602,1.0497,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,35,27,*,15,15,*,air,*,40---60days,CO2,pot,*,*,*,28.3784,38.1081,2.3757,0.3315,3,3,μmol m-2 s-1
Andropogon gerardii,Kakani 2008,day/night,20,12,*,40,32,*,20,20,*,air,*,40---60days,CO2,pot,*,*,*,28.3784,37.027,0.2762,0.3867,3,3,μmol m-2 s-1
Arabidopsis thaliana,Jin et al. 2011,day/night,23,18,*,25.5,20.5,*,2.5,2.5,2.5,air,*,*,*,pot,*,*,*,14.3,16.5,0.5525,0.442,15,15,mmol m-2 s-1
Arabidopsis thaliana,Jin et al. 2011,day/night,23,18,*,28,23,*,5,5,5,air,*,*,*,pot,*,*,*,14.3,12.4,0.3315,0.663,15,15,mmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,13.2057,10.3349,0.442,0.221,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,13.2057,15.8852,0.7735,0.221,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,14.9282,19.1388,0.2762,0.7735,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,10.9091,13.3014,0.4972,1.547,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,11.1962,11.5789,0.6077,0.1657,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,11.3876,13.2057,2.2148,1.1358,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,4.9761,6.9856,0.8518,0.6247,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,3.8278,5.4545,1.079,1.2493,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,6.3158,7.5598,0.3975,0.795,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,5.5502,8.3254,0.9086,1.3061,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,7.2727,10.9091,0.3975,0.4543,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,7.8469,10.5263,0.3407,1.2493,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,3.8278,7.6555,0.207,0.8696,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,3.3493,4.4019,0.4141,0.8282,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,15.8361,18.0984,0.1242,0.911,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,14.3607,13.1803,0.4141,0.8696,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,23.1148,25.9672,0.2485,0.7868,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,18.4918,16.5246,0.161,0.1968,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,16.1311,18.9836,0.0894,0.0537,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,13.5738,19.082,0.3405,0.1703,3,3,μmol m-2 s-1
Artemisia capillaris,Niu 2008,day/night,*,*,18.9,*,*,*,*,*,1.04,soil at 10cm,infrared indiator,3 months,*,pot,42°02′N,116°17′E,1324,8.7541,10.1311,1.9296,2.6674,3,3,μmol m-2 s-1
Artemisia tridentata,Loik 2004,day/night,*,*,3.9,*,*,*,*,*,0,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,1.6667,8.2407,3.1214,1.5323,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2004,day/night,*,*,3.9,*,*,*,*,*,0,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,4.9074,11.4815,1.9864,0.6243,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2004,day/night,*,*,3.9,*,*,*,*,*,0,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,5.6481,8.8889,0.7945,0.3973,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2004,day/night,*,*,3.9,*,*,*,*,*,0,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,3.3333,7.037,1.1351,0.908,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2004,day/night,*,*,3.9,*,*,*,*,*,0,"soil(average of 5, 12, 25cm deep)",infrared radiation,*,*,field,38°53′N,107°02′W,2920,2.3148,5.6481,0.2838,0.1703,5,5,μmol m-2 s-1
Artemisia tridentata,Shaw 2000,day/night,*,*,16.7,*,*,17.2,*,*,0.5,leaf,infrared radiation,3years,*,field,38°53′N,107°02′W,2920,2,2.84,0.2989,0.3416,5,5,μmol m-2 s-1
Artemisia tridentata,Shaw 2000,day/night,*,*,25.6,*,*,29,*,*,3.4,leaf,infrared radiation,3years,*,field,38°53′N,107°02′W,2920,1.24,1.04,0.1708,0.3416,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,3.0457,0.5076,0.1708,0.0854,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,8.2487,12.1827,0.2562,0.1708,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,13.198,10.7868,0.1708,0.0854,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,11.5482,11.9289,0.1708,0.2989,5,5,μmol m-2 s-1
Artemisia tridentata,Loik 2000,day/night,*,*,18.1,*,*,*,2,*,*,soil at 5cm,electric heater,7years,*,field,38°53′N,107°02′W,2920,4.3147,5.203,0.1281,0.3416,5,5,μmol m-2 s-1
