study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Reich & Hobbie 2013,45,368,560,192,12.0,45° N,93° W,USA,FACE,mg N kg-1 soil days-1,Biodiversity + Nitrogen,Fig. S1b,*,Yes,Grassland,*,0.0756,0.0845,0.0060,0.0061,3,3,0.1113,0.0038,,,,,,,,,,,,,,,,,,
Ross et al. 2013,46,*,475,*,10.0,40°14' S,173°16' E,New Zealand,FACE,mg N kg-1 soil 56days-1,Fertillizer without N,Fig. 6c,*,No,Grassland,*,97.6429,115.5000,4.0162,4.3213,3,3,0.168,0.001,,,,,,,,,,,,,,,,,,
Ross et al. 1995,47,350,700,350,0.6,40°14' S,173°16' E,New Zealand,GC,mg N g-1 soil  d-1,No,Fig. 3; From Zak et al. 2000 (New Phytologist; Table 6),*,No,Grassland,*,3.7100,3.8600,0.3710,0.3860,6,6,0.0396,0.0033,,,,,,,,,,,,,,,,,,
Rutting et al. 2010,48,*,475,*,10.0,40°14' S,175°16' E,New Zealand,FACE,mg N g-1 soil  d-1,No,Table 1,Average of Nrec and Nlab,No,Grassland,*,3.1450,5.3450,0.1321,0.2309,3,3,0.5303,0.0012,,,,,,,,,,,,,,,,,,
Tscherko et al. 2001,49,*,*,200,0.8,*,*,*,GC,mg kg-1,No,Table 4,Sum across layers,No,Grassland,*,67.8000,30.0000,6.7800,3.0000,6,6,-0.8154,0.0033,,,,,,,,,,,,,,,,,,
Tscherko et al. 2001,50,*,*,200,0.8,*,*,*,GC,mg kg-1,Warming,Table 4,Sum across layers,No,Grassland,*,68.8000,33.3000,6.8800,3.3300,6,6,-0.7256,0.0033,,,,,,,,,,,,,,,,,,
Zak et al. 2000a,51,367,715,348,2.5,45°34' N,84°40' W,USA,OTC,ng N g-1 soil  d-1,Nitrogen,Fig. 4,20 mg N; Low-N soil,Yes,Forest,P. tremuloides,61.6438,65.7534,30.6991,41.6502,5,5,0.0645,0.1298,,,,,,,,,,,,,,,,,,
Zak et al. 2000a,52,367,715,348,2.5,45°34' N,84°40' W,USA,OTC,ng N g-1 soil  d-1,Nitrogen,Fig. 4,20 mg N; High-N soil,Yes,Forest,P. tremuloides,271.2329,316.4384,118.4049,57.7585,5,5,0.1542,0.0448,,,,,,,,,,,,,,,,,,
Zak et al. 1993,53,342,692,350,0.4,45°34' N,84°41' W,USA,OTC,ng N g-1 soil  d-1,Nitrogen,Fig. 3,4.5 g N m-2; bulk soil,Yes,Forest,Populus grandidentata,455.5556,2588.8889,222.2222,577.7778,4,4,1.7375,0.0719,,,,,,,,,,,,,,,,,,
Wood et al. 1994,54,370,550,180,3.0,33°10' N,112°0' W,USA,FACE,mg N kg-1 soil 60days-1,Nitrogen,"Table 3; dry, sum across layers",130 kg N ha-1,Yes,Cropland,Cotton,52.3000,55.9000,24.0782,15.7823,4,4,0.0666,0.0729,,,,,,,,,,,,,,,,,,
Wood et al. 1994,55,370,550,180,3.0,33°10' N,112°0' W,USA,FACE,mg N kg-1 soil 60days-1,Nitrogen + Irrigation,"Table 3; wet, sum across layers",130 kg N ha-1,Yes,Cropland,Cotton,57.8000,62.8000,35.5719,17.9343,4,4,0.083,0.1151,,,,,,,,,,,,,,,,,,
