study_id,Comparison#,Author,Year publication,Journal,Title,Author Affiliation,Country,Continent,Developed,Development,Latitude,Publisher,Study type,In Seufert,In Badgley,In de Ponti,Crop species,Crop type,Duration of study,Research project,Study site,Y_coord,X_coord,year-org,year-conv,DataThief used,Perennial,Legume,Comparability of system,Drought,Time since conversion,Conv system type,Org system type,Conv yield comparability,BMP,Multi crop,Rotations,non food rotation,Org fertilizer type,Green manure org,Animal manure org,N input,N inputs include all inputs,Org N input kg/ha,Conv N input kg/ha,P input,Org P input kg/ha,Conv P input kg/ha,Irrigation,Tillage,GDD,Moisture,Soil carbon,Soil pH,Soil pH source,Yield unit,Data location,Conv treatment,Organic treatment,Variance across year,Lajeunesse method used,mean_ctrl,SD_ctrl,N_ctrl,mean_trt,SD_trt,N_trt,lnRR,var lnRR
15,132,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2002,2002,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,2.05,0.38,4,0.87,0.2,4,-0.85710186,0.02180191
15,133,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2003,2003,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,4.05,0.66,8,2.98,0.06,4,-0.306793581,0.003420963
15,134,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2003,2003,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,3.39,0.56,8,2.98,0.06,4,-0.128906621,0.003512386
15,135,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2004,2004,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,4.03,0.38,8,3.74,0.53,4,-0.074680765,0.00613191
15,136,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2004,2004,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,3.63,0.23,8,3.74,0.53,4,0.029852963,0.005522343
15,137,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2003,2003,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,5.59,0.71,4,3.16,0.22,4,-0.57040726,0.00524479
15,138,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2004,2004,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,12.5,0.63,4,8.08,0.77,4,-0.436336772,0.002905421
15,139,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2004,2004,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,11.7,1.81,4,8.08,0.77,4,-0.370196969,0.00825347
15,140,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,1998,1998,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,no,3.89,0.79,4,4.21,0.48,4,0.07905349,0.013560675
15,141,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2000,2000,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,3.29,0.42,4,1.61,0.15,4,-0.714653386,0.006244297
15,142,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2000,2000,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,2.97,0.31,4,1.61,0.15,4,-0.612327774,0.0048937
15,143,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2001,2001,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,4.63,0.32,4,5.24,0.32,4,0.12376463,0.002126549
15,144,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2001,2001,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,4.79,0.49,4,5.24,0.32,4,0.089791087,0.003548488
15,145,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2002,2002,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,4.03,0.48,4,4.78,0.42,4,0.170674171,0.005476715
15,146,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2002,2002,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,5.01,0.37,4,4.78,0.42,4,-0.046995369,0.003293654
15,147,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2005,2005,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,standard,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,chisel till,3 yr rotation,no,yes,4.16,0.15,4,3.37,0.59,4,-0.21060233,0.007987782
15,148,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,wheat,cereals,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,1997,1997,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,no,5.27,0.12,2,4.5,1.12,4,-0.157952966,0.015745665
15,149,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2000,2000,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,8.2,0.36,3,7.81,0.6,4,-0.04872919,0.002117979
15,150,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,soybean,oil crops,short,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,2005,2005,no,annual,legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,yes,4.35,0.29,4,3.37,0.59,4,-0.255263101,0.008773854
15,151,Cavigelli et al.,2009,"Renewable Agriculture and Food Systems 24(2), 102-119",Long-term economic performance of organic and conventional field crops in the mid-atlantic region,USDA-ARS,United States,North America,yes,very high,temperate,journal,experimental,yes,no,no,maize,cereals,medium,USDA-ARS Beltsville Farming Systems Project (FSP),Beltsville Agricultural Research Center; Maryland,39.03,-76.88,1998,1998,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,no,mix,yes,yes,more org,no,94,65,more org,88,15,no,no-till,high,high,high,strong acidic,dataset,Mg/ha,Tab. 7,no-till,3 yr rotation,no,no,1.81,0.75,4,2.31,0.95,4,0.243920679,0.085207267
85,789,Posner et al.,2005,WICST 10th Technical Report (http://wicst.wisc.edu/wp-content/uploads/wicst-yields-yield-variability-and-yield-trends-1990-20021.pdf),"The Wisconsin Integrated Cropping Systems Trials: yields, yield variability, and yield trends 1990-2002","Agronomy Department, University Wisconsin-Madison",United States,North America,yes,very high,temperate,grey,experimental,yes,no,no,maize,cereals,long,"Wisconsin Integrated Cropping Systems Trials (WICST), 1990-2002",University of Wisconsin Arlington Research Station,43.3,-89.35,1993 to 2002,1993 to 2002,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,both,animal,NA,yes,NA,NA,NA,NA,NA,NA,NA,no,standard,high,high,high,neutral,paper,bu/ac,Tab. 4a,CS4,CS5,yes,no,185,26.4,10,166,27.2,10,-0.108368037,0.004721266
85,792,Posner et al.,2005,WICST 10th Technical Report (http://wicst.wisc.edu/wp-content/uploads/wicst-yields-yield-variability-and-yield-trends-1990-20021.pdf),"The Wisconsin Integrated Cropping Systems Trials: yields, yield variability, and yield trends 1990-2002","Agronomy Department, University Wisconsin-Madison",United States,North America,yes,very high,temperate,grey,experimental,yes,no,no,maize,cereals,medium,"Wisconsin Integrated Cropping Systems Trials (WICST), 1990-2002","Lakeland Agricultural Complex on the Walworth County Farm, near Elkhorn, Wisconsin",42.65,-88.48,1993 to 1998,1993 to 1998,no,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,no,both mono,more conv,both,animal,NA,yes,NA,NA,NA,NA,NA,NA,NA,no,standard,high,high,high,neutral,paper,bu/ac,Tab. 4b,CS4,CS5,yes,no,146,35.3,5,121,47.6,5,-0.187816076,0.042642485
37,414,Goldstein et al.,unpublished,Oregon State University Southern Oregon Research and Extension Center (SOREC) (http://extension.oregonstate.edu/sorec/sites/default/files/comparison.pdf),"Comparisons of conventional, organic, and biodynamic methods",Micheal Fields Agricultural Institute,United States,North America,yes,very high,temperate,grey,experimental,yes,no,no,maize,cereals,short,"SOREC, Elkhorn, Wisconsin","Elkhorn, Wisconsin",42.65,-88.48,1994 to 1998,1994 to 1998,yes,annual,non-legume,not truly comparable,no,recent,commercial,biodynamic,comparable,no,both mono,more org,yes org,animal,no,yes,NA,yes,NA,168,NA,NA,112,no,NA,high,high,high,neutral,paper,kg/ha,Fig. 2,conv,BD+,yes,yes,5572,2946,5,7220,1905,5,0.259100897,0.069831319
37,415,Goldstein et al.,unpublished,Oregon State University Southern Oregon Research and Extension Center (SOREC) (http://extension.oregonstate.edu/sorec/sites/default/files/comparison.pdf),"Comparisons of conventional, organic, and biodynamic methods",Micheal Fields Agricultural Institute,United States,North America,yes,very high,temperate,grey,experimental,yes,no,no,maize,cereals,short,"SOREC, Elkhorn, Wisconsin","Elkhorn, Wisconsin",42.65,-88.48,1994 to 1998,1994 to 1998,yes,annual,non-legume,not truly comparable,no,recent,commercial,biodynamic,comparable,no,both mono,more org,yes org,animal,no,yes,NA,yes,NA,168,NA,NA,112,no,NA,high,high,high,neutral,paper,kg/ha,Fig. 2,conv,BD,yes,yes,5572,2946,5,6794,2351,5,0.198285814,0.079856734
37,416,Goldstein et al.,unpublished,Oregon State University Southern Oregon Research and Extension Center (SOREC) (http://extension.oregonstate.edu/sorec/sites/default/files/comparison.pdf),"Comparisons of conventional, organic, and biodynamic methods",Micheal Fields Agricultural Institute,United States,North America,yes,very high,temperate,grey,experimental,yes,no,no,maize,cereals,short,"SOREC, Elkhorn, Wisconsin","Elkhorn, Wisconsin",42.65,-88.48,1994 to 1998,1994 to 1998,yes,annual,non-legume,not truly comparable,no,recent,commercial,org stand,comparable,no,both mono,more org,yes org,animal,no,yes,NA,yes,NA,168,NA,NA,112,no,NA,high,high,high,neutral,paper,kg/ha,Fig. 2,conv,org,yes,yes,5572,2946,5,6720,2507,5,0.187334099,0.083743481
56,492,Kitchen et al.,2003,"Australian Journal of Agriculture 54, 889-901",Comparing wheat grown in South Australian organic and conventional farming systems,"Discipline of Animal Sciences, University of Adelaide",Australia,Australia,yes,very high,temperate,journal,experimental,yes,no,yes,wheat,cereals,very short,field trial neighbouring farms Wolseley,"Wolseley, Australia",-36.35,140.9,1998,1998,yes,annual,non-legume,not truly comparable,no,NA,commercial,certified,comparable,no,both mono,more org,yes org,NA,NA,NA,more conv,NA,0,9.3,more org,15,13.6,no,NA,high,high,medium,neutral,paper,t/ha,Fig. 4,moderate rain conventional,moderate rain organic,no,no,2.695,0.091923882,2,1.96,0.098994949,2,-0.318453731,0.001857224
