study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Bradford et al. 2012,16,375,550,175,0.5,*,*,*,GC,g N m-2,No,Table 2,375 ppm vs. 550 ppm,No,Grassland,*,15.0000,12.0000,4.6765,4.6765,3,3,-0.2231,0.083,,15.0000,12.0000,4.6765,4.6765,3,3,-0.2231,0.083,,*,*,*,*,*,*,*,*
Bradford et al. 2012,17,375,550,175,0.5,*,*,*,GC,g N m-2,Low Nitrogen,Table 2,375 ppm vs. 550 ppm,Yes,Grassland,*,15.0000,17.0000,2.2045,6.1237,6,6,0.1252,0.0252,,15.0000,17.0000,2.2045,6.1237,6,6,0.1252,0.0252,,*,*,*,*,*,*,*,*
Bradford et al. 2012,18,375,550,175,0.5,*,*,*,GC,g N m-2,High Nitrogen,Table 2,375 ppm vs. 550 ppm,Yes,Grassland,*,16.0000,24.0000,3.4293,3.9192,6,6,0.4055,0.0121,,16.0000,24.0000,3.4293,3.9192,6,6,0.4055,0.0121,,*,*,*,*,*,*,*,*
Bradford et al. 2012,19,375,700,325,0.5,*,*,*,GC,g N m-2,No,Table 2,375 ppm vs. 700 ppm,No,Grassland,*,15.0000,18.0000,4.6765,8.1406,3,3,0.1823,0.1006,,15.0000,18.0000,4.6765,8.1406,3,3,0.1823,0.1006,,*,*,*,*,*,*,*,*
Bradford et al. 2012,20,375,700,325,0.5,*,*,*,GC,g N m-2,Low Nitrogen,Table 2,375 ppm vs. 700 ppm,Yes,Grassland,*,15.0000,19.0000,2.2045,3.4293,6,6,0.2364,0.009,,15.0000,19.0000,2.2045,3.4293,6,6,0.2364,0.009,,*,*,*,*,*,*,*,*
Bradford et al. 2012,21,375,700,325,0.5,*,*,*,GC,g N m-2,High Nitrogen,Table 2,375 ppm vs. 700 ppm,Yes,Grassland,*,16.0000,31.0000,3.4293,6.8586,6,6,0.6614,0.0158,,16.0000,31.0000,3.4293,6.8586,6,6,0.6614,0.0158,,*,*,*,*,*,*,*,*
Brown et al. 2007,22,350,700,350,6.0,28°38' N,80°42' W,USA,OTC,g N m-2 land,No,Table 3 + Table 4,Sum across different diameters and depths,No,Forest,*,46.5100,38.3700,8.6981,5.3501,8,8,-0.1924,0.0068,,*,*,*,*,*,*,*,*,,46.5100,38.3700,8.6981,5.3501,8,8,-0.1924,0.0068
Calfapietra et al. 2007,23,370,550,180,3.0,42°37'N,11°51'E,Italy,FACE,g N m-2 land,No,Fig. 1,*,No,Forest,Sum of different species,38.0000,36.0000,3.8730,3.8730,3,3,-0.0541,0.0073,,38.0000,36.0000,3.8730,3.8730,3,3,-0.0541,0.0073,,*,*,*,*,*,*,*,*
Curtis et al. 1990,24,343,681,338,2.0,38°53' N,76°33' W,USA,OTC,g core-1,No,Table 1 multiply by Fig. 4,*,No,Grassland,SC,0.2194,0.3283,0.0373,0.0210,5,5,0.403,0.0066,,0.2194,0.3283,0.0373,0.0210,5,5,0.403,0.0066,,*,*,*,*,*,*,*,*
Curtis et al. 1990,25,343,681,338,2.0,38°53' N,76°33' W,USA,OTC,g core-1,No,Table 1 multiply by Fig. 4,*,No,Grassland,SP,0.2524,0.2571,0.0276,0.0173,5,5,0.0184,0.0033,,0.2524,0.2571,0.0276,0.0173,5,5,0.0184,0.0033,,*,*,*,*,*,*,*,*
Curtis et al. 1990,26,343,681,338,2.0,38°53' N,76°33' W,USA,OTC,g core-1,No,Table 1 multiply by Fig. 4,*,No,Grassland,MX,0.3540,0.3929,0.0198,0.0142,5,5,0.1043,0.0009,,0.3540,0.3929,0.0198,0.0142,5,5,0.1043,0.0009,,*,*,*,*,*,*,*,*
Daepp et al. 2001,27,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 1; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; Vegetative + reproductive,7.3585,9.4340,0.7358,0.9434,6,6,0.2485,0.0033,,7.3585,9.4340,0.7358,0.9434,6,6,0.2485,0.0033,,*,*,*,*,*,*,*,*
Daepp et al. 2001,28,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 2; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; Vegetative + reproductive,10.0000,12.3585,1.0000,1.2358,6,6,0.2118,0.0033,,10.0000,12.3585,1.0000,1.2358,6,6,0.2118,0.0033,,*,*,*,*,*,*,*,*
Daepp et al. 2001,29,350,600,250,2.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Fig. 2,Nitrogen level 3; different experiment from Daepp et al. 2000,Yes,Grassland,Lolium perenne; Vegetative + reproductive,11.6981,15.0943,1.1698,1.5094,6,6,0.2549,0.0033,,11.6981,15.0943,1.1698,1.5094,6,6,0.2549,0.0033,,*,*,*,*,*,*,*,*
Daepp et al. 2000,30,350,600,250,6.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Table 2,Low N; different experiment from Daepp et al. 2001,Yes,Grassland,Lolium perenne,2.4000,3.5000,0.2400,0.3500,6,6,0.3773,0.0033,,*,*,*,*,*,*,*,*,,2.4000,3.5000,0.2400,0.3500,6,6,0.3773,0.0033
Daepp et al. 2000,31,350,600,250,6.0,47°27'N,8°41'E,Switzerland,FACE,g m-2,Nitrogen,Table 2,High N; different experiment from Daepp et al. 2001,Yes,Grassland,Lolium perenne,2.2000,3.9000,0.2200,0.3900,6,6,0.5725,0.0033,,*,*,*,*,*,*,*,*,,2.2000,3.9000,0.2200,0.3900,6,6,0.5725,0.0033
Dakora & Drake 2000,32,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 1,Sediment material,No,Grassland,Spartina,0.8176,0.8176,0.1541,0.3081,6,6,0,0.0296,,0.8176,0.8176,0.1541,0.3081,6,6,0,0.0296,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,33,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 1,Sediment material,No,Grassland,Scirpus,17.2327,11.5723,4.4676,4.1595,6,6,-0.3982,0.0327,,17.2327,11.5723,4.4676,4.1595,6,6,-0.3982,0.0327,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,34,364,660,296,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 5,Sediment-free material,No,Grassland,Spartina,0.4286,0.4286,0.2100,0.2100,6,6,0,0.08,,0.4286,0.4286,0.2100,0.2100,6,6,0,0.08,,*,*,*,*,*,*,*,*
Dakora & Drake 2000,35,364,665,301,0.3,38°51' N,75°36' W,USA,OTC,mg plant-1,No,Fig. 5,Sediment-free material,No,Grassland,Scirpus,13.3714,10.1143,6.7186,6.0887,6,6,-0.2792,0.1025,,13.3714,10.1143,6.7186,6.0887,6,6,-0.2792,0.1025,,*,*,*,*,*,*,*,*
de Graaff et al. 2009,36,392,792,400,0.1,*,*,USA,GC,mg plant-1,No,Fig. 3b,Wild,No,Cropland,Wheat,1.5455,2.0152,0.1312,0.3149,3,3,0.2654,0.0105,,1.5455,2.0152,0.1312,0.3149,3,3,0.2654,0.0105,,*,*,*,*,*,*,*,*
de Graaff et al. 2009,37,392,792,400,0.1,*,*,USA,GC,mg plant-1,No,Fig. 3b,Cultivated,No,Cropland,Wheat,0.8182,1.2576,0.3412,0.4199,3,3,0.4299,0.0951,,0.8182,1.2576,0.3412,0.4199,3,3,0.4299,0.0951,,*,*,*,*,*,*,*,*
Dijkstra et al. 2010 (FE),38,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,Low water,Fig. 2 & Fig. 3; TPNP-APNP,Monocultures,No,Grassland,average of five species,0.1731,0.1793,0.0512,0.0399,10,10,0.0352,0.0137,,0.1731,0.1793,0.0512,0.0399,10,10,0.0352,0.0137,,*,*,*,*,*,*,*,*
Dijkstra et al. 2010 (FE),39,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,High water,Fig. 2 & Fig. 3; TPNP-APNP,Monocultures,No,Grassland,average of five species,0.1862,0.1886,0.0494,0.0422,10,10,0.0128,0.012,,0.1862,0.1886,0.0494,0.0422,10,10,0.0128,0.012,,*,*,*,*,*,*,*,*
Dijkstra et al. 2010 (FE),40,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,Low water,Fig. 2 & Fig. 3; TPNP-APNP,Mixtures,No,Grassland,average of five species,0.1531,0.1875,0.0580,0.0417,10,10,0.2027,0.0193,,0.1531,0.1875,0.0580,0.0417,10,10,0.2027,0.0193,,*,*,*,*,*,*,*,*
Dijkstra et al. 2010 (FE),41,400,780,380,0.2,40°50' N,104°47' W,USA,GC,g pot-1,High water,Fig. 2 & Fig. 3; TPNP-APNP,Mixtures,No,Grassland,average of five species,0.1651,0.2097,0.0547,0.0731,10,10,0.2391,0.0231,,0.1651,0.2097,0.0547,0.0731,10,10,0.2391,0.0231,,*,*,*,*,*,*,*,*
Dijkstra et al. 2010 (NP),42,*,600,*,3.0,41°11' N,104°54' W,USA,FACE,g m-2,No,Table 2,*,No,Grassland,northern mixed-grass prairie,3.9250,3.7750,0.6495,0.6566,5,5,-0.039,0.0115,,3.9250,3.7750,0.6495,0.6566,5,5,-0.039,0.0115,,*,*,*,*,*,*,*,*
Dijkstra et al. 2010 (NP),43,*,600,*,3.0,41°11' N,104°54' W,USA,FACE,g m-2,Warming,Table 2,*,No,Grassland,northern mixed-grass prairie,3.7500,4.7700,0.6786,0.7846,5,5,0.2406,0.012,,3.7500,4.7700,0.6786,0.7846,5,5,0.2406,0.012,,*,*,*,*,*,*,*,*
Franzaring et al. 2012,44,380,550,170,0.4,*,*,Germany,GC,g plant-1,No,Fig. 3d,*,No,*,*,0.0306,0.0414,0.0031,0.0041,6,6,0.3023,0.0033,,0.0306,0.0414,0.0031,0.0041,6,6,0.3023,0.0033,,*,*,*,*,*,*,*,*
Franzaring et al. 2012,45,380,550,170,0.4,*,*,Germany,GC,g plant-1,Nitrogen,Fig. 3d,75 kg N ha-1 yr-1,Yes,*,*,0.0601,0.0710,0.0060,0.0071,6,6,0.1667,0.0033,,0.0601,0.0710,0.0060,0.0071,6,6,0.1667,0.0033,,*,*,*,*,*,*,*,*
Hartwig et al. 2002,46,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 1 * Table 2,DM*N concentration,Yes,Grassland,Lolium perenne,2.3400,3.6720,0.2340,0.3672,3,3,0.4506,0.0067,,*,*,*,*,*,*,*,*,,2.3400,3.6720,0.2340,0.3672,3,3,0.4506,0.0067
Hartwig et al. 2002,47,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 1 * Table 2,DM*N concentration,Yes,Grassland,Trifolium repens ,1.6274,1.6800,0.1627,0.1680,3,3,0.0318,0.0067,,*,*,*,*,*,*,*,*,,1.6274,1.6800,0.1627,0.1680,3,3,0.0318,0.0067
Hartwig et al. 2002,48,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 1 * Table 2,DM*N concentration,Yes,Grassland,Lolium perenne,5.8050,11.4939,0.5805,1.1494,3,3,0.6831,0.0067,,*,*,*,*,*,*,*,*,,5.8050,11.4939,0.5805,1.1494,3,3,0.6831,0.0067
Hartwig et al. 2002,49,350,600,250,4.0,47°27'N,8°41'E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 1 * Table 2,DM*N concentration,Yes,Grassland,Trifolium repens ,1.3734,2.0025,0.1373,0.2003,3,3,0.3771,0.0067,,*,*,*,*,*,*,*,*,,1.3734,2.0025,0.1373,0.2003,3,3,0.3771,0.0067
Hibbs et al. 1995,50,350,700,350,0.4,*,*,USA,GC,mg,No,Table 2,*,No,Forest,Deciduous,0.3800,0.5700,0.0380,0.0570,16,16,0.4055,0.0013,,0.3800,0.5700,0.0380,0.0570,16,16,0.4055,0.0013,,*,*,*,*,*,*,*,*
Hibbs et al. 1995,51,350,700,350,0.4,*,*,USA,GC,mg,Drought,Table 2,*,No,Forest,Deciduous,0.4700,0.5500,0.0470,0.0550,16,16,0.1572,0.0013,,0.4700,0.5500,0.0470,0.0550,16,16,0.1572,0.0013,,*,*,*,*,*,*,*,*
Hungate et al. 1996,52,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Avena fatua,0.2213,0.1885,0.2016,0.0916,5,5,-0.1604,0.2132,,0.2213,0.1885,0.2016,0.0916,5,5,-0.1604,0.2132,,*,*,*,*,*,*,*,*
Hungate et al. 1996,53,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Bromus hordeaceus,0.0984,0.1230,0.0550,0.0367,5,5,0.2231,0.0803,,0.0984,0.1230,0.0550,0.0367,5,5,0.2231,0.0803,,*,*,*,*,*,*,*,*
Hungate et al. 1996,54,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Lolium multiflorum,0.1475,0.0984,0.0367,0.0367,5,5,-0.4048,0.0402,,0.1475,0.0984,0.0367,0.0367,5,5,-0.4048,0.0402,,*,*,*,*,*,*,*,*
Hungate et al. 1996,55,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Vulpia michrostachys,0.0902,0.0820,0.0550,0.0367,5,5,-0.0953,0.1144,,0.0902,0.0820,0.0550,0.0367,5,5,-0.0953,0.1144,,*,*,*,*,*,*,*,*
Hungate et al. 1996,56,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Lasthenia californica,0.1311,0.1148,0.0550,0.0367,5,5,-0.1328,0.0556,,0.1311,0.1148,0.0550,0.0367,5,5,-0.1328,0.0556,,*,*,*,*,*,*,*,*
Hungate et al. 1996,57,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,No,Fig. 1,*,No,Grassland,Plantago erecta,0.1475,0.1721,0.0183,0.0367,5,5,0.1542,0.0122,,0.1475,0.1721,0.0183,0.0367,5,5,0.1542,0.0122,,*,*,*,*,*,*,*,*
Hungate et al. 1996,58,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Avena fatua,1.2295,1.7213,0.1833,0.7331,5,5,0.3365,0.0407,,1.2295,1.7213,0.1833,0.7331,5,5,0.3365,0.0407,,*,*,*,*,*,*,*,*
Hungate et al. 1996,59,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Bromus hordeaceus,1.1475,1.5574,0.5499,0.5499,5,5,0.3054,0.0709,,1.1475,1.5574,0.5499,0.5499,5,5,0.3054,0.0709,,*,*,*,*,*,*,*,*
Hungate et al. 1996,60,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Lolium multiflorum,1.3115,1.4754,0.5499,0.5499,5,5,0.1178,0.0629,,1.3115,1.4754,0.5499,0.5499,5,5,0.1178,0.0629,,*,*,*,*,*,*,*,*
Hungate et al. 1996,61,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Vulpia michrostachys,0.5738,0.4918,0.5499,0.3666,5,5,-0.1542,0.2948,,0.5738,0.4918,0.5499,0.3666,5,5,-0.1542,0.2948,,*,*,*,*,*,*,*,*
Hungate et al. 1996,62,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Lasthenia californica,1.2295,1.8033,0.7331,0.3666,5,5,0.383,0.0794,,1.2295,1.8033,0.7331,0.3666,5,5,0.383,0.0794,,*,*,*,*,*,*,*,*
Hungate et al. 1996,63,360,710,350,0.4,37°24' N,122°13' W,USA,OTC,g N m-2 land,Fertilizer,Fig. 1,*,Yes,Grassland,Plantago erecta,1.6393,1.4754,0.3666,0.3666,5,5,-0.1053,0.0224,,1.6393,1.4754,0.3666,0.3666,5,5,-0.1053,0.0224,,*,*,*,*,*,*,*,*
Iverson et al. 2012,64,396,565,169,12.0,35°54' N,84°20' W,USA,FACE,g N m-3,No,Table 1,*,No,Forest,Liquidambar styraciflua L.,1.7000,2.4000,0.1732,0.7071,3,2,0.3448,0.0469,,*,*,*,*,*,*,*,*,,1.7000,2.4000,0.1732,0.7071,3,2,0.3448,0.0469
Jastrow et al. 2000,65,380,760,380,8.0,39.12° N,96.35° W,USA,OTC,g N m-2 land,No,Fig. 2,*,No,Grassland,*,15.5056,23.5206,5.504471332,10.27501315,6,6,0.4167,0.0528,,*,*,*,*,*,*,*,*,,15.5056,23.5206,5.504471332,10.27501315,6,6,0.4167,0.0528
Jin et al. 2012,66,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,No,Fig. 1b * Table 2,0 mg P kg-1 soil,No,Cropland,Chickpea,4.6989,4.6093,0.4699,0.4609,4,4,-0.0193,0.005,,4.6989,4.6093,0.4699,0.4609,4,4,-0.0193,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,67,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,2 mg P kg-1 soil,No,Cropland,Chickpea,5.7708,6.8559,0.5771,0.6856,4,4,0.1723,0.005,,5.7708,6.8559,0.5771,0.6856,4,4,0.1723,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,68,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,4 mg P kg-1 soil,No,Cropland,Chickpea,7.3347,8.4289,0.7335,0.8429,4,4,0.139,0.005,,7.3347,8.4289,0.7335,0.8429,4,4,0.139,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,69,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,8 mg P kg-1 soil,No,Cropland,Chickpea,10.5865,12.2075,1.0586,1.2208,4,4,0.1425,0.005,,10.5865,12.2075,1.0586,1.2208,4,4,0.1425,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,70,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,16 mg P kg-1 soil,No,Cropland,Chickpea,10.4589,13.3011,1.0459,1.3301,4,4,0.2404,0.005,,10.4589,13.3011,1.0459,1.3301,4,4,0.2404,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,71,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,No,Fig. 1b * Table 2,0 mg P kg-1 soil,No,Cropland,Field pea,3.2818,4.0229,0.3282,0.4023,4,4,0.2036,0.005,,3.2818,4.0229,0.3282,0.4023,4,4,0.2036,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,72,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,2 mg P kg-1 soil,No,Cropland,Field pea,3.9940,4.9227,0.3994,0.4923,4,4,0.2091,0.005,,3.9940,4.9227,0.3994,0.4923,4,4,0.2091,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,73,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,4 mg P kg-1 soil,No,Cropland,Field pea,5.0887,4.8180,0.5089,0.4818,4,4,-0.0547,0.005,,5.0887,4.8180,0.5089,0.4818,4,4,-0.0547,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,74,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,8 mg P kg-1 soil,No,Cropland,Field pea,7.1242,7.0767,0.7124,0.7077,4,4,-0.0067,0.005,,7.1242,7.0767,0.7124,0.7077,4,4,-0.0067,0.005,,*,*,*,*,*,*,*,*
Jin et al. 2012,75,350,550,200,0.2,36°42' N,142°11' W,Australia,FACE,mg plant-1,Phosphorus,Fig. 1b * Table 2,16 mg P kg-1 soil,No,Cropland,Field pea,8.8698,8.7429,0.8870,0.8743,4,4,-0.0144,0.005,,8.8698,8.7429,0.8870,0.8743,4,4,-0.0144,0.005,,*,*,*,*,*,*,*,*
Johnson et al. 2004,76,*,542,*,2.0,35°54' N,84°20' W,USA,FACE,kg N ha-1 land,No,Table 2,*,No,Forest,*,18.0000,32.0000,1.8000,3.2000,3,2,0.5754,0.0083,,18.0000,32.0000,1.8000,3.2000,3,2,0.5754,0.0083,,*,*,*,*,*,*,*,*
Kim et al. 2011,77,380,622,242,0.3,35°10' N,126°53' E,South_Korea,GC,mg N pot-1,Fertilizer,Table 4,*,Yes,Cropland,Rice,89.0000,76.9000,8.9000,7.6900,6,6,-0.1461,0.0033,,89.0000,76.9000,8.9000,7.6900,6,6,-0.1461,0.0033,,*,*,*,*,*,*,*,*
Kim et al. 2011,78,380,622,242,0.3,35°10' N,126°53' E,South_Korea,GC,mg N pot-1,Fertilizer + Temperature,Table 4,*,Yes,Cropland,Rice,91.6000,124.0000,9.1600,12.4000,6,6,0.3029,0.0033,,91.6000,124.0000,9.1600,12.4000,6,6,0.3029,0.0033,,*,*,*,*,*,*,*,*
Lam et al. 2012 (NCA),79,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,kg ha-1,Nitrogen,Fig. 3,*,Yes,Cropland,Wheat,6.0137,6.5865,0.6014,0.6586,4,4,0.091,0.005,,6.0137,6.5865,0.6014,0.6586,4,4,0.091,0.005,,*,*,*,*,*,*,*,*
Lam et al. 2012 (NCA),80,390,550,160,0.3,36°42' S,142°07' E,Australia,FACE,kg ha-1,Nitrogen + Irrigation,Fig. 3,*,Yes,Cropland,Wheat,6.0137,6.8729,0.6014,0.6873,4,4,0.1335,0.005,,6.0137,6.8729,0.6014,0.6873,4,4,0.1335,0.005,,*,*,*,*,*,*,*,*
