study_id,Obs,Ambient CO2 (ppm),Elevated CO2 (ppm),CO2 difference (ppm),Treatment duration (years),Latitude,Longitude,Country,Fercility ,Unit,Other treatments,Data location,Notes,Nitrogen addition,Ecosystem,Vegetation,mean_ctrl,mean_trt,SD_ctrl,SD_trt,N_ctrl,N_trt,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR),,Mean_a,Mean_e,Std_a,Std_e,N_a,N_e,lnR,Var(lnR)
Nitschelm et al. 1997,48,350,600,250,0.7,47°27'N,8°41'E,Switzerland,FACE,g box-1,No,Table 2,*,No,Cropland,White clover,0.1510,0.1550,0.0151,0.0155,3,3,0.0261,0.0067,,,,,,,,,,,,,,,,,,
Ross et al. 2013,49,*,475,*,10.0,40°14' S,173°16' E,New Zealand,FACE,g kg-1 soil,Fertillizer without N,Fig. 3c,*,No,Grassland,*,4.3356,4.2844,0.0830,0.0869,3,3,-0.0119,0.0003,,,,,,,,,,,,,,,,,,
Ross et al. 1995,50,350,700,350,0.6,40°14' S,173°16' E,New Zealand,GC,%,No,Fig. 2,*,No,Grassland,*,0.3638,0.3604,0.0364,0.0360,6,6,-0.0094,0.0033,,,,,,,,,,,,,,,,,,
Schlesinger & Lichter 2001,51,365,565,200,3.0,35°58' N,79°5' W,USA,FACE,g m-2,No,Table 1 (Total N),0 - 30 cm (Sum across layers),No,Forest,Loblolly pine,146.6000,164.8000,16.1981,23.7392,3,3,0.117,0.011,,,,,,,,,,,,,,,,,,
Tscherko et al. 2001,52,*,*,200,0.8,*,*,*,GC,%,No,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,0.1167,0.1233,0.0077,0.0208,6,6,0.055,0.0055,,,,,,,,,,,,,,,,,,
Tscherko et al. 2001,53,*,*,200,0.8,*,*,*,GC,%,Warming,Table 3 & Table 3,Average across 3 generations,No,Grassland,*,0.1233,0.1467,0.0129,0.0129,6,6,0.1738,0.0031,,,,,,,,,,,,,,,,,,
van Groenigen et al. 2002,54,350,600,250,8.0,47°27' N,8°40' E,Switzerland,FACE,g N m-2 land,Low Nitrogen,Table 2,140 kg N ha-1,Yes,Grassland,White clover & ryegrass,362.0000,377.0000,76.2102,27.7128,3,3,0.0406,0.0166,,,,,,,,,,,,,,,,,,
van Groenigen et al. 2002,55,350,600,250,8.0,47°27' N,8°40' E,Switzerland,FACE,g N m-2 land,High Nitrogen,Table 2,560 kg N ha-1,Yes,Grassland,White clover & ryegrass,329.0000,331.0000,100.4589,76.2102,3,3,0.0061,0.0487,,,,,,,,,,,,,,,,,,
van Kessel et al. 2006,56,350,600,250,10.0,47°27' N,8°40' E,Switzerland,FACE,kg ha-1,Nitrogen,Table 2,322 kg N ha-1; average of low and high N treatments,Yes,Grassland,White clover & ryegrass,5884.0000,6142.0000,588.4000,614.2000,3,3,0.0429,0.0067,,,,,,,,,,,,,,,,,,
Verburg et al. 2004,57,365,700,335,0.2,*,*,*,GC,%,No,Fig. 5,Unlabeled bulk soil,No,Forest,Pine,0.0248,0.0349,0.0063,0.0106,4,4,0.3416,0.0392,,,,,,,,,,,,,,,,,,
Verburg et al. 2004,58,365,700,335,0.2,*,*,*,GC,%,No,Fig. 5,Unlabeled rhizosphere soil,No,Forest,Pine,0.0400,0.0450,0.0003,0.0056,4,4,0.1178,0.0039,,,,,,,,,,,,,,,,,,
Verburg et al. 2004,59,365,700,335,0.2,*,*,*,GC,%,No,Fig. 5,Labeled bulk soil,No,Forest,Pine,0.0352,0.0326,0.0053,0.0050,4,4,-0.0767,0.0115,,,,,,,,,,,,,,,,,,
Verburg et al. 2004,60,365,700,335,0.2,*,*,*,GC,%,No,Fig. 5,Labeled rhizosphere soil,No,Forest,Pine,0.0402,0.0473,0.0136,0.0209,4,4,0.1626,0.0774,,,,,,,,,,,,,,,,,,
Williams et al. 2000,61,335,*,*,8.0,39.12° N,96.35° W,USA,OTC,g kg-1 soil,No,Table 4,*,No,Grassland,Grass,3.2250,3.4800,0.3225,0.3480,3,3,0.0761,0.0067,,,,,,,,,,,,,,,,,,
Zak et al. 2007,62,374,531,157,7.0,45°40.5' N,89°37.5' W,USA,FACE,g N m-2 land,O3; average of contral and O3,Table 2,*,No,Forest,Across plant community type,181.8000,187.2000,26.1540,42.7817,3,3,0.0293,0.0243,,,,,,,,,,,,,,,,,,
Zak et al. 1993,63,342,692,350,0.4,45°34' N,84°41' W,USA,OTC,mg N g-1 soil,Nitrogen,Table 2,4.5 g N m-2; Rhizosphere soil,Yes,Forest,Populus grandidentata,100.0000,109.0000,23.8000,35.2000,4,4,0.0862,0.0402,,,,,,,,,,,,,,,,,,
Zak et al. 1993,64,342,692,350,0.4,45°34' N,84°41' W,USA,OTC,mg N g-1 soil,Nitrogen,Table 2,4.5 g N m-2; bulk soil,Yes,Forest,Populus grandidentata,79.0000,73.0000,22.2000,21.2000,4,4,-0.079,0.0408,,,,,,,,,,,,,,,,,,
